date,river,raw_water_level
2010-09-01,Kaburantwa,0.5283333333333332
2010-10-01,Kaburantwa,0.5080645161290324
2010-11-01,Kaburantwa,0.6440000000000001
2010-12-01,Kaburantwa,0.5480645161290323
2011-01-01,Kaburantwa,0.5151612903225806
2011-02-01,Kaburantwa,0.5028571428571429
2011-03-01,Kaburantwa,0.6135483870967743
2011-04-01,Kaburantwa,0.6536666666666667
2011-05-01,Kaburantwa,0.552258064516129
2011-06-01,Kaburantwa,0.5246666666666667
2011-07-01,Kaburantwa,0.4596774193548387
2011-08-01,Kaburantwa,0.3864516129032259
2011-09-01,Kaburantwa,0.4183333333333334
2011-10-01,Kaburantwa,0.5212903225806452
2011-11-01,Kaburantwa,0.704
2011-12-01,Kaburantwa,0.7225806451612905
2012-01-01,Kaburantwa,
2012-02-01,Kaburantwa,
2012-03-01,Kaburantwa,
2012-04-01,Kaburantwa,
2012-05-01,Kaburantwa,
2012-06-01,Kaburantwa,
2012-07-01,Kaburantwa,
2012-08-01,Kaburantwa,0.7126923076923076
2012-09-01,Kaburantwa,0.7093333333333335
2012-10-01,Kaburantwa,0.7032258064516127
2012-11-01,Kaburantwa,0.7500000000000002
2012-12-01,Kaburantwa,0.7880645161290323
2013-01-01,Kaburantwa,0.8690322580645159
2013-02-01,Kaburantwa,0.8267857142857142
2013-03-01,Kaburantwa,0.9561290322580646
2013-04-01,Kaburantwa,1.1626666666666663
2013-05-01,Kaburantwa,1.1529032258064515
2013-06-01,Kaburantwa,1.0516666666666667
2013-07-01,Kaburantwa,0.9964516129032256
2013-08-01,Kaburantwa,0.902258064516129
2013-09-01,Kaburantwa,0.8650000000000001
2013-10-01,Kaburantwa,0.758064516129032
2013-11-01,Kaburantwa,0.7446666666666668
2013-12-01,Kaburantwa,0.8170967741935483
2014-01-01,Kaburantwa,1.0767741935483874
2014-02-01,Kaburantwa,1.1114285714285714
2014-03-01,Kaburantwa,1.1654838709677418
2014-04-01,Kaburantwa,1.1683333333333334
2014-05-01,Kaburantwa,1.0683870967741935
2014-06-01,Kaburantwa,0.9893333333333332
2014-07-01,Kaburantwa,0.9870967741935484
2014-08-01,Kaburantwa,0.9980645161290328
2014-09-01,Kaburantwa,1.0133333333333334
2014-10-01,Kaburantwa,1.0135483870967743
2014-11-01,Kaburantwa,1.096666666666667
2014-12-01,Kaburantwa,1.2796774193548386
2015-01-01,Kaburantwa,1.2164516129032257
2015-02-01,Kaburantwa,1.2771428571428574
2015-03-01,Kaburantwa,1.357096774193548
2015-04-01,Kaburantwa,1.458333333333333
2015-05-01,Kaburantwa,1.5829032258064517
2015-06-01,Kaburantwa,1.585666666666667
2015-07-01,Kaburantwa,1.4832258064516124
2015-08-01,Kaburantwa,1.2858064516129035
2015-09-01,Kaburantwa,1.1000000000000003
2015-10-01,Kaburantwa,1.2309677419354836
2015-11-01,Kaburantwa,1.4476666666666669
2015-12-01,Kaburantwa,1.4867741935483874
2016-01-01,Kaburantwa,1.5941935483870966
2016-02-01,Kaburantwa,1.7720689655172412
2016-03-01,Kaburantwa,1.844516129032258
2016-04-01,Kaburantwa,1.9566666666666668
2016-05-01,Kaburantwa,2.044516129032258
2016-06-01,Kaburantwa,1.9543333333333333
2016-07-01,Kaburantwa,1.6377419354838716
2016-08-01,Kaburantwa,1.4622580645161292
2016-09-01,Kaburantwa,1.583
2016-10-01,Kaburantwa,1.565806451612903
2016-11-01,Kaburantwa,1.505
2016-12-01,Kaburantwa,1.4796774193548383
2017-01-01,Kaburantwa,1.5048387096774196
2017-02-01,Kaburantwa,1.648928571428571
2017-03-01,Kaburantwa,1.7438709677419355
2017-04-01,Kaburantwa,1.852
2017-05-01,Kaburantwa,1.8429032258064515
2017-06-01,Kaburantwa,1.643
2017-07-01,Kaburantwa,1.4606451612903228
2017-08-01,Kaburantwa,1.324193548387097
2017-09-01,Kaburantwa,1.3286666666666669
2017-10-01,Kaburantwa,1.3593548387096772
2017-11-01,Kaburantwa,1.3986666666666667
2017-12-01,Kaburantwa,1.834516129032258
2018-01-01,Kaburantwa,1.900322580645161
2018-02-01,Kaburantwa,2.0842857142857136
2018-03-01,Kaburantwa,2.134193548387097
2018-04-01,Kaburantwa,2.383666666666666
2018-05-01,Kaburantwa,2.442903225806452
2018-06-01,Kaburantwa,2.147333333333333
2018-07-01,Kaburantwa,2.2458064516129035
2018-08-01,Kaburantwa,2.0690322580645155
2018-09-01,Kaburantwa,1.842666666666667
2018-10-01,Kaburantwa,2.1551612903225803
2018-11-01,Kaburantwa,2.181
2018-12-01,Kaburantwa,2.2396774193548388
2019-01-01,Kaburantwa,2.313870967741936
2019-02-01,Kaburantwa,2.3442857142857143
2019-03-01,Kaburantwa,2.412903225806452
2019-04-01,Kaburantwa,2.629666666666666
2019-05-01,Kaburantwa,2.4732258064516133
2019-06-01,Kaburantwa,2.300666666666667
2019-07-01,Kaburantwa,2.1183870967741933
2019-08-01,Kaburantwa,1.9751612903225808
2019-09-01,Kaburantwa,1.977
2019-10-01,Kaburantwa,1.971290322580645
2019-11-01,Kaburantwa,2.1326666666666667
2019-12-01,Kaburantwa,2.31774193548387
2020-01-01,Kaburantwa,2.2367741935483867
2020-02-01,Kaburantwa,2.332758620689656
2020-03-01,Kaburantwa,2.2887096774193547
2020-04-01,Kaburantwa,2.848
2020-05-01,Kaburantwa,2.883870967741936
2020-06-01,Kaburantwa,2.5840000000000005
2020-07-01,Kaburantwa,2.2841935483870968
2020-08-01,Kaburantwa,2.099032258064516
2020-09-01,Kaburantwa,1.705333333333333
2020-10-01,Kaburantwa,1.7735483870967743
2020-11-01,Kaburantwa,1.959666666666667
2020-12-01,Kaburantwa,2.1367741935483875
2021-01-01,Kaburantwa,2.2612903225806456
2021-02-01,Kaburantwa,1.9917857142857145
2021-03-01,Kaburantwa,1.8012903225806456
2021-04-01,Kaburantwa,1.6286666666666667
2021-05-01,Kaburantwa,1.60741935483871
2021-06-01,Kaburantwa,1.555
2021-07-01,Kaburantwa,1.5358064516129035
2021-08-01,Kaburantwa,1.5000000000000002
2021-09-01,Kaburantwa,1.427
2021-10-01,Kaburantwa,1.6580645161290315
2021-11-01,Kaburantwa,1.7636666666666665
2021-12-01,Kaburantwa,1.923225806451613
2022-01-01,Kaburantwa,2.030322580645161
2022-02-01,Kaburantwa,1.9667857142857144
2022-03-01,Kaburantwa,1.893870967741936
2022-04-01,Kaburantwa,1.8846666666666667
2022-05-01,Kaburantwa,1.830322580645161
2022-06-01,Kaburantwa,1.8216666666666663
2022-07-01,Kaburantwa,1.7464516129032253
2022-08-01,Kaburantwa,1.763548387096774
2022-09-01,Kaburantwa,1.806
2022-10-01,Kaburantwa,1.7358064516129024
2022-11-01,Kaburantwa,1.7926666666666669
2022-12-01,Kaburantwa,1.7525806451612902
2023-01-01,Kaburantwa,2.035806451612903
2023-02-01,Kaburantwa,1.952857142857143
2023-03-01,Kaburantwa,1.95
2023-04-01,Kaburantwa,1.923333333333333
2023-05-01,Kaburantwa,1.8133333333333328
2023-06-01,Kaburantwa,1.7730000000000004
2023-07-01,Kaburantwa,1.748387096774194
2023-08-01,Kaburantwa,1.7025806451612904
2023-09-01,Kaburantwa,1.5096666666666665
2023-10-01,Kaburantwa,1.8612903225806443
2023-11-01,Kaburantwa,1.902
2023-12-01,Kaburantwa,1.9296774193548385
2024-01-01,Kaburantwa,2.01258064516129
2024-02-01,Kaburantwa,1.929310344827586
2024-03-01,Kaburantwa,1.877096774193548
2024-04-01,Kaburantwa,1.917333333333333
2024-05-01,Kaburantwa,1.799677419354838
2024-06-01,Kaburantwa,1.632
2024-07-01,Kaburantwa,1.539677419354839
2024-08-01,Kaburantwa,1.5167741935483867
2024-09-01,Kaburantwa,1.4616666666666664
2024-10-01,Kaburantwa,1.5732258064516127
2024-11-01,Kaburantwa,1.9850000000000003
2024-12-01,Kaburantwa,1.82741935483871
