river,date,year,month,water_level,runoff,temp_max_observed,temp_min_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean
Mpanda,2008-12-01,2008,12,0.9261290322580648,11.76,21.306451612903224,11.264516129032256,125.1,RWEGURA,RWEGURA,grid_m3.00_29.50,18.94182565860217,12.320520000000045,27.70980000000003,173.93303020358,-0.4644713450137096,-0.3598809191740591,13.150960470430109,101280.641297043
Mpanda,2009-01-01,2009,1,0.8893548387096775,10.37,20.660000000000004,11.413333333333332,247.6,RWEGURA,RWEGURA,grid_m3.00_29.50,18.94403494623657,12.36318,27.46770000000004,412.48416818704,-0.3152977938966398,-0.3910127946576612,13.254311048387136,101331.01302419354
Mpanda,2009-02-01,2009,2,0.9182142857142858,5.41,20.575,11.0,205.8,RWEGURA,RWEGURA,grid_m3.00_29.50,18.212384270833358,12.389550000000042,25.90664000000004,308.504104704,-0.4896283602723214,-0.1610633301425595,13.9508185119048,101288.54663690476
Mpanda,2009-03-01,2009,3,0.9906451612903228,10.55,20.95483870967742,11.706451612903225,176.4,RWEGURA,RWEGURA,grid_m3.00_29.50,18.94901943548388,12.322530000000029,26.652000000000044,299.18193850808,-0.6786679095461021,-0.1571586157728494,14.34886318548388,101242.70546370967
Mpanda,2009-04-01,2009,4,1.164,5.6,20.453333333333333,11.203333333333331,181.6,RWEGURA,RWEGURA,grid_m3.00_29.50,18.195570527777814,12.981650000000002,25.14538000000005,382.3056232732,-0.8910121069247222,-0.0068261047044166,14.86947686111114,101437.370125
Mpanda,2009-05-01,2009,5,1.3270967741935482,5.15,19.335483870967742,11.370967741935484,248.2,RWEGURA,RWEGURA,grid_m3.00_29.50,18.27963881720433,12.221370000000036,25.23803000000004,219.89870090406,-0.7705776472096774,0.0078375088734543,14.247708642473128,101439.6848857527
Mpanda,2009-06-01,2009,6,0.7490000000000001,1.11,20.64,11.23,12.6,RWEGURA,RWEGURA,grid_m3.00_29.50,18.320157944444475,11.182520000000013,25.794430000000037,47.00136145186,-0.9855693395402778,0.2037701924680555,12.008246541666663,101532.98845833332
Mpanda,2009-07-01,2009,7,0.7216129032258066,0.45,21.00645161290323,10.503225806451614,0.5,RWEGURA,RWEGURA,grid_m3.00_29.50,18.391699368279543,10.385460000000023,27.1943,10.98966596272,-0.8194913359266129,0.7226813152950416,9.954098198924784,101612.25538978496
Mpanda,2009-08-01,2009,8,0.767741935483871,0.2,21.83548387096774,12.23548387096774,48.8,RWEGURA,RWEGURA,grid_m3.00_29.50,19.74446860215056,13.1216,27.420560000000023,32.65571575832,-0.5651459433101746,0.5298713567916666,11.240125739247333,101436.25275537634
Mpanda,2009-09-01,2009,9,0.6056666666666666,0.78,22.31,12.086666666666668,50.39999999999999,RWEGURA,RWEGURA,grid_m3.00_29.50,20.20127241666665,13.672330000000043,28.075770000000038,170.39012920692002,-0.584053654881,0.0916772418486111,12.272611305555586,101422.89655555556
Mpanda,2009-10-01,2009,10,0.8077419354838711,1.5,21.470967741935485,11.719354838709677,103.6,RWEGURA,RWEGURA,grid_m3.00_29.50,19.054816209677423,13.037869999999998,27.014730000000043,297.35660646714,-0.763029898733871,-0.4078815207795699,13.712433172043063,101316.75229166666
Mpanda,2009-11-01,2009,11,0.9133333333333332,7.66,20.766666666666666,11.87,239.40000000000003,RWEGURA,RWEGURA,grid_m3.00_29.50,18.519004430555583,13.022420000000013,25.427760000000035,398.74839653434,-0.4138682408963888,-0.2692257773412083,14.73237994444446,101363.83911111113
Mpanda,2009-12-01,2009,12,0.9467741935483872,8.75,20.40967741935484,11.870967741935484,127.1,RWEGURA,RWEGURA,grid_m3.00_29.50,18.368573548387133,13.066300000000012,26.23263000000003,401.12829190262,-0.4094502849126209,-0.2939236346111559,14.710552889784992,101419.44813172042
Mpanda,2010-01-01,2010,1,0.9561290322580648,9.13,21.567741935483877,11.935483870967742,265.7,RWEGURA,RWEGURA,grid_m3.00_29.50,19.246666962365623,13.600430000000015,29.31002000000001,332.82327602238,-0.2225412952310484,-0.4446470610349865,14.520231008064512,101404.35871639784
Mpanda,2010-02-01,2010,2,1.0314285714285714,4.18,21.76923076923077,12.52307692307692,235.6,RWEGURA,RWEGURA,grid_m3.00_29.50,19.45174263392857,14.34023000000002,29.79373000000004,402.08673446576,-0.3119182583147321,-0.2042334869491071,15.723215163690496,101360.7046205357
Mpanda,2010-03-01,2010,3,0.9958064516129032,5.8,20.97741935483871,12.13548387096774,206.6,RWEGURA,RWEGURA,grid_m3.00_29.50,19.158459462365613,13.310940000000016,27.633140000000022,350.71945263558,-0.5454851363808602,-0.2684532906865591,15.834908669354888,101447.06727150537
Mpanda,2010-04-01,2010,4,1.0843333333333334,8.56,,,,RWEGURA,RWEGURA,grid_m3.00_29.50,19.183891444444495,13.697900000000004,26.960170000000005,277.2278782138,-0.8577180438962501,-0.09406939609475,16.115129402777768,101428.4736875
Mpanda,2010-05-01,2010,5,0.7893548387096776,5.11,20.570967741935487,12.341935483870968,81.39999999999999,RWEGURA,RWEGURA,grid_m3.00_29.50,19.149447997311825,12.231650000000002,26.3904,142.44842510558,-0.8789861539774865,0.0867520200516129,14.39175055107529,101460.7407594086
