river,year,month,water_fraction,water_pixels,total_pixels
Nyamagana,1997,2,,0,0
Nyamagana,1997,3,,0,0
Nyamagana,1997,4,,0,0
Nyamagana,1997,5,,0,0
Nyamagana,1997,6,,0,0
Nyamagana,1997,7,,0,0
Nyamagana,1997,8,,0,0
Nyamagana,1997,9,,0,0
Nyamagana,1997,10,,0,0
Nyamagana,1997,11,,0,0
Nyamagana,1997,12,,0,0
Nyamagana,1998,1,,0,0
Nyamagana,1998,2,,0,0
Nyamagana,1998,3,,0,0
Nyamagana,1998,4,,0,0
Nyamagana,1998,5,,0,0
Nyamagana,1998,6,,0,0
Nyamagana,1998,7,0.0,0,5
Nyamagana,1998,8,,0,0
Nyamagana,1998,9,,0,0
Nyamagana,1998,10,0.0,0,13811
Nyamagana,1998,11,0.0,0,10262
Nyamagana,1998,12,,0,0
Nyamagana,1999,1,0.0,0,13843
Nyamagana,1999,2,,0,0
Nyamagana,1999,3,,0,0
Nyamagana,1999,4,,0,0
Nyamagana,1999,5,,0,0
Nyamagana,1999,6,,0,0
Nyamagana,1999,7,,0,0
Nyamagana,1999,8,,0,0
Nyamagana,1999,9,0.0,0,13843
Nyamagana,1999,10,,0,0
Nyamagana,1999,11,0.0,0,2097
Nyamagana,1999,12,0.0,0,13843
Nyamagana,2000,1,,0,0
Nyamagana,2000,2,,0,0
Nyamagana,2000,3,0.0,0,3206
Nyamagana,2000,4,0.0,0,12639
Nyamagana,2000,5,0.0,0,4764
Nyamagana,2000,6,0.0,0,13834
Nyamagana,2000,7,,0,0
Nyamagana,2000,8,0.0,0,1628
Nyamagana,2000,9,0.0,0,13832
Nyamagana,2000,10,0.0,0,7141
Nyamagana,2000,11,0.0,0,1893
Nyamagana,2000,12,0.0,0,13843
Nyamagana,2001,1,0.0,0,121
Nyamagana,2001,2,0.0,0,13773
Nyamagana,2001,3,0.0,0,13843
Nyamagana,2001,4,0.0,0,12915
Nyamagana,2001,5,,0,0
Nyamagana,2001,6,0.0,0,13843
Nyamagana,2001,7,0.0,0,2090
Nyamagana,2001,8,0.0,0,13597
Nyamagana,2001,9,0.0,0,13843
Nyamagana,2001,10,0.0,0,4015
Nyamagana,2001,11,0.0,0,12245
Nyamagana,2001,12,0.0,0,13843
Nyamagana,2002,1,0.0,0,13843
Nyamagana,2002,2,,0,0
Nyamagana,2002,3,0.0,0,8119
Nyamagana,2002,4,0.0,0,11923
Nyamagana,2002,5,0.0,0,13843
Nyamagana,2002,6,0.0,0,13843
Nyamagana,2002,7,0.0,0,13158
Nyamagana,2002,8,0.0,0,2729
Nyamagana,2002,9,0.0,0,13843
Nyamagana,2002,10,0.0,0,13843
Nyamagana,2002,11,0.0,0,13842
Nyamagana,2002,12,0.0,0,13409
Nyamagana,2003,1,0.0,0,13843
Nyamagana,2003,2,0.0,0,2625
Nyamagana,2003,3,0.0,0,13843
Nyamagana,2003,4,0.0,0,1
Nyamagana,2003,5,,0,0
Nyamagana,2003,6,,0,0
Nyamagana,2003,7,0.0,0,12759
Nyamagana,2003,8,,0,0
Nyamagana,2003,9,,0,0
Nyamagana,2003,10,,0,0
Nyamagana,2003,11,0.0,0,6902
Nyamagana,2003,12,0.0,0,5426
Nyamagana,2004,1,,0,0
Nyamagana,2004,2,0.0,0,3239
Nyamagana,2004,3,0.0,0,13825
Nyamagana,2004,4,0.0,0,13843
Nyamagana,2004,5,0.0,0,148
Nyamagana,2004,6,0.0,0,12312
Nyamagana,2004,7,0.0,0,13496
Nyamagana,2004,8,0.0,0,1286
Nyamagana,2004,9,0.0,0,13843
Nyamagana,2004,10,0.0,0,5706
Nyamagana,2004,11,,0,0
Nyamagana,2004,12,0.0,0,12454
Nyamagana,2005,1,0.0,0,12898
Nyamagana,2005,2,0.0,0,13843
Nyamagana,2005,3,0.0,0,11079
Nyamagana,2005,4,0.0,0,9294
Nyamagana,2005,5,,0,0
Nyamagana,2005,6,0.0,0,13841
Nyamagana,2005,7,0.0,0,13099
Nyamagana,2005,8,0.0,0,58
Nyamagana,2005,9,0.0,0,12807
Nyamagana,2005,10,0.0,0,13208
Nyamagana,2005,11,,0,0
Nyamagana,2005,12,0.0,0,11837
Nyamagana,2006,1,0.0,0,9783
Nyamagana,2006,2,0.0,0,12697
Nyamagana,2006,3,0.0,0,12739
Nyamagana,2006,4,,0,0
Nyamagana,2006,5,0.0,0,12578
Nyamagana,2006,6,,0,0
Nyamagana,2006,7,0.0,0,12706
Nyamagana,2006,8,0.0,0,12869
Nyamagana,2006,9,0.0,0,13702
Nyamagana,2006,10,0.0,0,12802
Nyamagana,2006,11,,0,0
Nyamagana,2006,12,,0,0
Nyamagana,2007,1,0.0,0,7523
Nyamagana,2007,2,0.0,0,13061
Nyamagana,2007,3,0.0,0,10428
Nyamagana,2007,4,,0,0
Nyamagana,2007,5,0.0,0,6613
Nyamagana,2007,6,0.0,0,13190
Nyamagana,2007,7,0.0,0,12447
Nyamagana,2007,8,0.0,0,13808
Nyamagana,2007,9,0.0,0,13012
Nyamagana,2007,10,,0,0
Nyamagana,2007,11,0.0,0,1701
Nyamagana,2007,12,,0,0
Nyamagana,2008,1,,0,0
Nyamagana,2008,2,0.0,0,12858
Nyamagana,2008,3,0.0,0,13321
Nyamagana,2008,4,0.0,0,167
Nyamagana,2008,5,0.0,0,13601
Nyamagana,2008,6,0.0,0,13839
Nyamagana,2008,7,,0,0
Nyamagana,2008,8,0.0,0,12990
Nyamagana,2008,9,0.0,0,13843
Nyamagana,2008,10,0.0,0,4865
Nyamagana,2008,11,,0,0
Nyamagana,2008,12,0.0,0,13006
Nyamagana,2009,1,0.0,0,13694
Nyamagana,2009,2,0.0,0,13796
Nyamagana,2009,3,0.0,0,13087
Nyamagana,2009,4,,0,0
Nyamagana,2009,5,,0,0
Nyamagana,2009,6,0.0,0,13840
Nyamagana,2009,7,0.0,0,13842
Nyamagana,2009,8,0.0,0,13515
Nyamagana,2009,9,0.0,0,13843
Nyamagana,2009,10,,0,0
Nyamagana,2009,11,0.0,0,928
Nyamagana,2009,12,0.0,0,13624
Nyamagana,2010,1,0.0,0,13843
Nyamagana,2010,2,0.0,0,13834
Nyamagana,2010,3,,0,0
Nyamagana,2010,4,0.0,0,12746
Nyamagana,2010,5,0.0,0,13827
Nyamagana,2010,6,0.0,0,13808
