model,horizon_months,period,n,mae_m,rmse_m,bias_m
xgboost,1,recent_5y,61,0.15211206454917553,0.1874399907263482,0.09356189698599814
xgboost,3,recent_5y,59,0.27206689728990435,0.3246052535792972,0.21087586621645496
xgboost,6,recent_5y,56,0.32710589308965765,0.4050543448996077,0.27608657110305046
