river,date,year,month,water_level,runoff,temp_max_observed,temp_min_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean
Nyengwe,1981-01-01,1981,1,0.5961290322580647,13.55,26.619354838709675,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.64362237903225,20.176480000000023,25.36312000000004,434.11922485042,0.0079314314258064,0.6693406045235215,18.98101463709679,101215.54526209676
Nyengwe,1981-02-01,1981,2,0.5071428571428573,9.94,26.69642857142857,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.286870982142887,20.4144,26.53063000000003,293.96796205782,0.0379085306485119,0.4051655809151785,18.9659861904762,101111.9159970238
Nyengwe,1981-03-01,1981,3,0.6480645161290324,12.65,26.087096774193544,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.812335887096825,20.61736000000002,25.820760000000007,488.9450076743,0.1724850239135752,0.5285241317840054,19.27872240591404,101142.50676747313
Nyengwe,1981-04-01,1981,4,0.6971428571428572,10.36,26.093333333333337,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.61850206944445,20.484800000000007,24.660300000000007,414.09683134174,0.2973364096006944,0.4371622509868472,19.482824111111142,101201.4286875
Nyengwe,1981-05-01,1981,5,0.5987096774193548,10.52,25.89677419354838,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.36463590053762,20.48434000000003,25.29940000000005,445.16682642216,0.5320792043048388,0.1374630952161559,18.97894322580652,101310.22985887095
Nyengwe,1981-06-01,1981,6,0.4699999999999998,2.48,27.16333333333334,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.896377958333343,19.77468000000005,25.470180000000028,74.52416429776,0.6773619497210694,0.3806669875806945,17.966603013888914,101418.11647222222
Nyengwe,1981-07-01,1981,7,0.4083870967741937,1.03,27.622580645161285,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.92068243279573,21.018700000000024,25.423940000000016,8.8083744111,0.8304242185858871,0.3017572641370968,16.43747592741937,101362.83056451612
Nyengwe,1981-08-01,1981,8,0.3722580645161288,1.1,28.35483870967742,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.146155873655918,20.435270000000003,25.73004000000003,133.46004466052,0.8077494094948038,0.0864365628103172,17.252198467741948,101276.61596102153
Nyengwe,1981-09-01,1981,9,0.3583333333333333,1.45,27.44666666666666,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.56670413888889,20.149620000000027,26.052400000000038,130.4717065697,0.6934265546972221,0.0029331100753333,17.679198361111162,101204.7075347222
Nyengwe,1981-10-01,1981,10,0.3596774193548386,11.28,27.43870967741936,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.039766626344147,20.69583,25.972830000000044,390.27619414208,0.3534519239865591,0.2071683319884005,18.790906518817224,101158.41262096772
Nyengwe,1981-11-01,1981,11,0.3493333333333333,9.54,26.94,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.036394916666666,20.91384000000005,25.357500000000016,277.76646585678,0.4127348923248611,0.3892823115134722,18.65709950000001,101120.8947361111
Nyengwe,1981-12-01,1981,12,0.5461290322580646,15.91,26.87741935483871,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.515258346774203,20.31370000000004,25.60296,522.50385171712,0.0019976771950268,0.6934058275744623,19.06344006720434,101206.59585349464
Nyengwe,1982-01-01,1982,1,0.5832258064516129,12.52,26.50967741935484,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.04610638440863,19.660799999999995,25.926350000000014,322.13997735214,0.0614004856104569,0.6222515926748655,19.101291975806475,101111.01688172044
Nyengwe,1982-02-01,1982,2,0.5424999999999999,11.13,26.75714285714285,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.29997598214288,20.17240000000004,26.53875000000005,331.23278581144,0.0652854162242559,0.5681931411215774,18.987818601190497,101075.83136160714
Nyengwe,1982-03-01,1982,3,0.5890322580645162,8.81,27.88387096774193,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.29797043010757,19.85208,26.45205000000004,382.95531249612,0.0263675853519623,0.6381176844065323,19.50301341397852,101081.54301747312
Nyengwe,1982-04-01,1982,4,0.673,15.14,25.72666666666667,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.588205069444427,20.58718000000005,25.6087,575.98877013636,0.1852498599833333,0.5122259990948055,19.438015347222237,101196.40071527778
Nyengwe,1982-05-01,1982,5,0.5316129032258065,12.53,25.3483870967742,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.23548317204302,19.90370000000001,24.740470000000016,541.6727066762201,0.3362908925140322,0.5208310365788978,19.18326506720433,101305.12137096774
Nyengwe,1982-06-01,1982,6,0.226,2.84,26.820000000000004,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.77064230555561,20.49984000000001,25.465900000000037,96.88496609042,0.8340116346700001,0.2084286582922222,18.329073736111127,101458.1259861111
Nyengwe,1982-07-01,1982,7,0.1512903225806451,1.23,27.40645161290323,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.415838709677416,20.47927000000004,24.65110000000004,49.8981474308,0.8919672811606183,0.3954363175757325,17.161458252688192,101425.28817876344
Nyengwe,1982-08-01,1982,8,,0.6,28.477419354838712,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.204993266129065,20.82340000000005,25.63638000000003,22.4404334643,0.9429224693057796,0.1267535723274059,16.686047715053803,101341.0666935484
Nyengwe,1982-09-01,1982,9,,0.85,29.34333333333333,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.83660681944445,21.01745,26.87002000000001,149.46937565182,0.9806908706713888,0.0974629719766666,18.000021875000016,101214.853125
Nyengwe,1982-10-01,1982,10,,12.99,26.54516129032258,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.34946754032262,20.12298000000004,24.55883,538.3608343260399,0.2352921876188171,0.5046965590705645,18.53243685483875,101180.89291666666
Nyengwe,1982-11-01,1982,11,,12.54,25.73,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.453738625000028,20.20147000000003,25.54244,402.42695881206,0.2364409340167639,0.5514171184559722,18.762566736111125,101197.35129166668
Nyengwe,1982-12-01,1982,12,,12.34,26.729032258064517,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.63651926075272,19.178,25.795500000000004,368.4763901594,0.1981478960996908,0.4740216047639785,19.09266401881723,101217.62165994624
Nyengwe,1983-01-01,1983,1,,14.5,27.506451612903223,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.0886664919355,20.248440000000016,26.099820000000022,433.89892563286,0.0865689608341397,0.4647133937231182,19.329574032258108,101273.60686155914
