river,date,year,month,water_level,runoff,temp_max_observed,temp_min_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean
Rusizi,1981-01-01,1981,1,1.56,,29.14838709677419,18.77096774193549,73.5,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.213570013440854,14.913100000000044,32.45114000000001,10.69593430046,0.2966959724875,0.7372392638422043,14.708146129032286,101196.98811827957
Rusizi,1981-02-01,1981,2,1.38,,29.675,18.92142857142857,95.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.187209241071457,17.260640000000024,33.24078000000003,87.05210661564,0.2835023736041667,0.4701680238690476,14.867077678571434,101118.13862351191
Rusizi,1981-03-01,1981,3,1.41,,29.016129032258068,19.706451612903223,92.89999999999998,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.06810036290324,17.12826000000001,31.54504000000003,39.40153124612,-0.1248559441451613,0.2870257376040228,15.812205954301078,101160.97969758064
Rusizi,1981-04-01,1981,4,1.7,,30.00666666666667,19.67,64.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.90873381944448,17.238550000000032,29.34274000000005,215.2438171216,0.0518001133848611,0.4047458026738889,17.258250444444457,101229.82693055556
Rusizi,1981-05-01,1981,5,1.95,,29.39032258064516,18.69032258064516,48.9,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.327266733871,14.957300000000032,28.30728000000005,245.05043054298,0.6304718151612904,0.7192541411254569,17.019822069892484,101343.03280241936
Rusizi,1981-06-01,1981,6,1.66,,29.91333333333333,17.366666666666667,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.184493875000044,14.436059999999998,29.52596,28.3670426889,1.0420266629520831,1.0275189302144443,15.161842569444444,101439.1207986111
Rusizi,1981-07-01,1981,7,1.24,,29.0741935483871,16.738709677419358,0.3,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.341040201612884,15.177700000000016,30.4939,9.38367834216,0.769990223007715,1.3388259494797043,13.653700685483898,101378.9219422043
Rusizi,1981-08-01,1981,8,1.08,,29.75483870967741,18.11935483870968,61.99999999999999,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.50274301075268,14.696300000000008,30.116720000000043,29.84809874404,1.090934157110215,0.8739935271748656,14.045710752688194,101315.13272849462
Rusizi,1981-09-01,1981,9,1.07,,30.0,17.62666666666667,35.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.008965027777837,14.990560000000016,32.38850000000002,10.660886862,1.0989373531727775,0.6522996998272222,13.100522458333389,101249.40802777778
Rusizi,1981-10-01,1981,10,1.14,,30.51290322580645,18.729032258064517,50.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.57814336021511,16.45657,31.20458000000002,9.48286055774,1.1080853459276885,0.4164257257571236,13.856861559139816,101184.491922043
Rusizi,1981-11-01,1981,11,1.1,,30.086666666666662,17.346666666666668,62.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.880416583333385,16.06686000000002,31.517100000000028,8.289337183679999,0.910349096586528,0.3181058239170833,12.952672291666715,101137.06904166666
Rusizi,1981-12-01,1981,12,1.15,,28.587096774193547,19.206451612903223,117.40000000000002,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.68164131720431,16.86053000000004,31.03000000000003,25.25496470624,0.3639230283581989,0.5462861627723118,15.042585618279588,101208.1627217742
Rusizi,1982-01-01,1982,1,1.19,,29.693548387096776,18.625806451612902,40.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.022616384408597,17.101830000000007,31.965779999999995,31.06689473422,0.1362414000020698,0.4242587960814516,15.158074408602149,101122.85827284948
Rusizi,1982-02-01,1982,2,1.13,,29.971428571428564,18.58214285714286,67.7,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.613972708333336,17.328640000000007,32.824850000000026,11.62385949914,0.019927577188244,0.2759219362769345,14.200746860119068,101083.47738839289
Rusizi,1982-03-01,1982,3,1.11,,30.16451612903226,17.73225806451613,76.7,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.674566169354875,16.69363000000004,33.294820000000016,28.84626385996,0.5221778153837365,0.7276713528687903,14.59615740591397,101071.14754032258
Rusizi,1982-04-01,1982,4,1.35,,29.313333333333336,19.70333333333333,148.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.155216347222225,17.01370000000003,30.889520000000005,99.7636323055,0.3309326380016666,0.4667860021546249,16.69268073611113,101210.25053472225
Rusizi,1982-05-01,1982,5,1.54,,28.970967741935475,19.41290322580645,75.2,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.69263517473121,16.337730000000022,29.848960000000037,223.68550322876,0.9295959265712364,0.7497128705997312,16.33968041666668,101310.68020833332
