river,year,month,water_fraction,water_pixels,total_pixels
Kaburantwa,1996,5,,0,0
Kaburantwa,1996,6,,0,0
Kaburantwa,1996,7,,0,0
Kaburantwa,1996,8,,0,0
Kaburantwa,1996,9,,0,0
Kaburantwa,1996,10,,0,0
Kaburantwa,1996,11,,0,0
Kaburantwa,1996,12,,0,0
Kaburantwa,1997,1,,0,0
Kaburantwa,1997,2,,0,0
Kaburantwa,1997,3,,0,0
Kaburantwa,1997,4,,0,0
Kaburantwa,1997,5,,0,0
Kaburantwa,1997,6,,0,0
Kaburantwa,1997,7,,0,0
Kaburantwa,1997,8,,0,0
Kaburantwa,1997,9,,0,0
Kaburantwa,1997,10,,0,0
Kaburantwa,1997,11,,0,0
Kaburantwa,1997,12,,0,0
Kaburantwa,1998,1,,0,0
Kaburantwa,1998,2,,0,0
Kaburantwa,1998,3,,0,0
Kaburantwa,1998,4,,0,0
Kaburantwa,1998,5,,0,0
Kaburantwa,1998,6,,0,0
Kaburantwa,1998,7,,0,0
Kaburantwa,1998,8,,0,0
Kaburantwa,1998,9,,0,0
Kaburantwa,1998,10,0.0,0,13753
Kaburantwa,1998,11,0.0,0,13810
Kaburantwa,1998,12,,0,0
Kaburantwa,1999,1,0.0,0,13840
Kaburantwa,1999,2,,0,0
Kaburantwa,1999,3,,0,0
Kaburantwa,1999,4,,0,0
Kaburantwa,1999,5,,0,0
Kaburantwa,1999,6,,0,0
Kaburantwa,1999,7,,0,0
Kaburantwa,1999,8,,0,0
Kaburantwa,1999,9,0.0,0,13845
Kaburantwa,1999,10,,0,0
Kaburantwa,1999,11,0.0,0,13840
Kaburantwa,1999,12,0.0,0,13845
Kaburantwa,2000,1,,0,0
Kaburantwa,2000,2,,0,0
Kaburantwa,2000,3,0.0,0,2265
Kaburantwa,2000,4,0.0,0,13843
Kaburantwa,2000,5,0.0,0,31
Kaburantwa,2000,6,0.0,0,13792
Kaburantwa,2000,7,,0,0
Kaburantwa,2000,8,0.0,0,5012
Kaburantwa,2000,9,0.0,0,13149
Kaburantwa,2000,10,0.0,0,585
Kaburantwa,2000,11,0.0,0,2381
Kaburantwa,2000,12,0.0,0,13842
Kaburantwa,2001,1,0.0,0,2912
Kaburantwa,2001,2,0.0,0,13745
Kaburantwa,2001,3,0.0,0,13822
Kaburantwa,2001,4,0.0,0,13764
Kaburantwa,2001,5,,0,0
Kaburantwa,2001,6,0.0,0,13818
Kaburantwa,2001,7,0.0,0,1
Kaburantwa,2001,8,0.0,0,13831
Kaburantwa,2001,9,0.0,0,13833
Kaburantwa,2001,10,0.0,0,6831
Kaburantwa,2001,11,0.0,0,9693
Kaburantwa,2001,12,0.0,0,13845
