river,year,month,water_fraction,water_pixels,total_pixels
Nyamagana,2025,2,,0,0
Nyamagana,2025,3,,0,0
Nyamagana,2025,4,,0,0
Nyamagana,2025,5,,0,0
Nyamagana,2025,6,,0,0
Nyamagana,2025,7,,0,0
Nyamagana,2025,8,,0,0
Nyamagana,2025,9,,0,0
Nyamagana,2025,10,,0,0
Nyamagana,2025,11,,0,0
Nyamagana,2025,12,,0,0
Nyengwe,1984,1,,0,0
Nyengwe,1984,2,,0,0
Nyengwe,1984,3,,0,0
Nyengwe,1984,4,,0,0
Nyengwe,1984,5,0.0,0,10329
Nyengwe,1984,6,0.0,0,13828
Nyengwe,1984,7,0.0,0,5
Nyengwe,1984,8,,0,0
Nyengwe,1984,9,,0,0
Nyengwe,1984,10,,0,0
Nyengwe,1984,11,0.0,0,2
Nyengwe,1984,12,0.0,0,11628
Nyengwe,1985,1,,0,0
Nyengwe,1985,2,,0,0
Nyengwe,1985,3,,0,0
Nyengwe,1985,4,,0,0
Nyengwe,1985,5,,0,0
Nyengwe,1985,6,,0,0
Nyengwe,1985,7,,0,0
Nyengwe,1985,8,,0,0
Nyengwe,1985,9,,0,0
Nyengwe,1985,10,,0,0
Nyengwe,1985,11,,0,0
Nyengwe,1985,12,,0,0
Nyengwe,1986,1,0.0,0,36
Nyengwe,1986,2,,0,0
Nyengwe,1986,3,,0,0
Nyengwe,1986,4,,0,0
Nyengwe,1986,5,,0,0
Nyengwe,1986,6,,0,0
Nyengwe,1986,7,0.0,0,13748
Nyengwe,1986,8,0.0,0,8851
Nyengwe,1986,9,,0,0
Nyengwe,1986,10,,0,0
Nyengwe,1986,11,0.0,0,12639
Nyengwe,1986,12,0.0,0,12485
Nyengwe,1987,1,0.0,0,13862
Nyengwe,1987,2,0.0,0,12554
Nyengwe,1987,3,,0,0
Nyengwe,1987,4,,0,0
Nyengwe,1987,5,,0,0
Nyengwe,1987,6,,0,0
Nyengwe,1987,7,,0,0
Nyengwe,1987,8,,0,0
Nyengwe,1987,9,,0,0
Nyengwe,1987,10,,0,0
Nyengwe,1987,11,,0,0
Nyengwe,1987,12,,0,0
Nyengwe,1988,1,,0,0
Nyengwe,1988,2,,0,0
Nyengwe,1988,3,,0,0
Nyengwe,1988,4,,0,0
Nyengwe,1988,5,,0,0
Nyengwe,1988,6,,0,0
Nyengwe,1988,7,,0,0
Nyengwe,1988,8,,0,0
Nyengwe,1988,9,,0,0
Nyengwe,1988,10,,0,0
Nyengwe,1988,11,,0,0
Nyengwe,1988,12,,0,0
Nyengwe,1989,1,,0,0
Nyengwe,1989,2,,0,0
Nyengwe,1989,3,,0,0
Nyengwe,1989,4,,0,0
Nyengwe,1989,5,,0,0
Nyengwe,1989,6,,0,0
Nyengwe,1989,7,,0,0
Nyengwe,1989,8,,0,0
Nyengwe,1989,9,0.0,0,7401
Nyengwe,1989,10,,0,0
Nyengwe,1989,11,,0,0
Nyengwe,1989,12,,0,0
Nyengwe,1990,1,,0,0
Nyengwe,1990,2,,0,0
Nyengwe,1990,3,,0,0
Nyengwe,1990,4,,0,0
Nyengwe,1990,5,,0,0
Nyengwe,1990,6,0.0,0,13044
Nyengwe,1990,7,0.0,0,13860
