river,year,month,ndvi
Mulembwe,2015,9,0.6455
Mulembwe,2015,10,0.7664
Mulembwe,2015,11,0.6262
Mulembwe,2015,12,0.7781
Mulembwe,2016,1,0.7069
Mulembwe,2016,2,0.65965
Mulembwe,2016,3,0.67075
Mulembwe,2016,4,0.86865
Mulembwe,2016,5,0.85705
Mulembwe,2016,6,0.78415
Mulembwe,2016,7,0.7019
Mulembwe,2016,8,0.6575
Mulembwe,2016,9,0.7268
Mulembwe,2016,10,0.70505
Mulembwe,2016,11,0.7562
Mulembwe,2016,12,0.4908
Mulembwe,2017,1,0.71105
Mulembwe,2017,2,0.81505
Mulembwe,2017,3,0.7203
Mulembwe,2017,4,0.7004
Mulembwe,2017,5,0.7055
Mulembwe,2017,6,0.7384
Mulembwe,2017,7,0.698
Mulembwe,2017,8,0.6583
Mulembwe,2017,9,0.6641
Mulembwe,2017,10,0.7003
Mulembwe,2017,11,0.322
Mulembwe,2017,12,0.7051
Mulembwe,2018,1,0.76685
Mulembwe,2018,2,0.53895
Mulembwe,2018,3,0.5776
Mulembwe,2018,4,0.69295
Mulembwe,2018,5,0.82125
Mulembwe,2018,6,0.7362
Mulembwe,2018,7,0.7213
Mulembwe,2018,8,0.6433
Mulembwe,2018,9,0.57695
Mulembwe,2018,10,0.676
Mulembwe,2018,11,0.76445
Mulembwe,2018,12,0.3992
Mulembwe,2019,1,0.82555
Mulembwe,2019,2,0.78195
Mulembwe,2019,3,0.8192
Mulembwe,2019,4,0.7929
Mulembwe,2019,5,0.4707
Mulembwe,2019,6,0.7805
Mulembwe,2019,7,0.72405
Mulembwe,2019,8,0.64515
Mulembwe,2019,9,0.69455
Mulembwe,2019,10,0.5806
Mulembwe,2019,11,0.64065
Mulembwe,2019,12,0.5983
Mulembwe,2020,1,0.64195
Mulembwe,2020,2,0.63975
Mulembwe,2020,3,0.55845
Mulembwe,2020,4,0.78395
Mulembwe,2020,5,0.8157
Mulembwe,2020,6,0.64875
Mulembwe,2020,7,0.6912
Mulembwe,2020,8,0.6535
Mulembwe,2020,9,0.6674
Mulembwe,2020,10,0.50675
Mulembwe,2020,11,0.8081
Mulembwe,2020,12,0.7426
Mulembwe,2021,1,0.81675
Mulembwe,2021,2,0.7692
Mulembwe,2021,3,0.66215
Mulembwe,2021,4,0.39175
Mulembwe,2021,5,0.7869
Mulembwe,2021,6,0.7408
Mulembwe,2021,7,0.71175
Mulembwe,2021,8,0.622
Mulembwe,2021,9,0.68615
Mulembwe,2021,10,0.722
Mulembwe,2021,11,0.7894
Mulembwe,2021,12,0.45005
Mulembwe,2022,1,0.727
Mulembwe,2022,2,0.76355
Mulembwe,2022,3,0.7786
Mulembwe,2022,4,0.637
Mulembwe,2022,5,0.7885
Mulembwe,2022,6,0.7814
Mulembwe,2022,7,0.66895
Mulembwe,2022,8,0.708
Mulembwe,2022,9,0.63505
Mulembwe,2022,10,0.3352
Mulembwe,2022,11,0.42475
Mulembwe,2022,12,0.7798
Mulembwe,2023,1,0.80135
Mulembwe,2023,2,0.78435
Mulembwe,2023,3,0.7964
Mulembwe,2023,4,0.84045
Mulembwe,2023,5,0.81215
Mulembwe,2023,6,0.7378
Mulembwe,2023,7,0.681
Mulembwe,2023,8,0.62665
Mulembwe,2023,9,0.6646
Mulembwe,2023,10,0.8468
Mulembwe,2023,11,0.84835
Mulembwe,2023,12,0.4545
Mulembwe,2024,1,0.8205
Mulembwe,2024,2,0.803
Mulembwe,2024,3,0.70325
Mulembwe,2024,4,0.59925
Mulembwe,2024,5,0.7975
Mulembwe,2024,6,0.73495
Mulembwe,2024,7,0.6912
Mulembwe,2024,8,0.6099
Mulembwe,2024,9,0.629
Mulembwe,2024,10,0.75835
Mulembwe,2024,11,0.7641
Mulembwe,2024,12,0.7291
Mulembwe,2025,1,0.8242
Mulembwe,2025,2,0.79705
Mulembwe,2025,3,0.58645
Mulembwe,2025,4,0.6834
Mulembwe,2025,5,0.85635
Mulembwe,2025,6,0.8104
Mulembwe,2025,7,0.74475
Mulembwe,2025,8,0.68825
Mulembwe,2025,9,0.70635
Mulembwe,2025,10,0.718
Mulembwe,2025,11,0.7269
Mulembwe,2025,12,0.81005
