river,year,month,ndvi
Nyamagana,2015,9,0.43065
Nyamagana,2015,10,0.5067
Nyamagana,2015,11,0.61435
Nyamagana,2015,12,0.6946
Nyamagana,2016,1,0.657
Nyamagana,2016,2,0.6235
Nyamagana,2016,3,0.6579
Nyamagana,2016,4,0.7715
Nyamagana,2016,5,0.6922
Nyamagana,2016,6,0.5814
Nyamagana,2016,7,0.50525
Nyamagana,2016,8,0.4355
Nyamagana,2016,9,0.4789
Nyamagana,2016,10,0.53065
Nyamagana,2016,11,0.4951
Nyamagana,2016,12,0.62815
Nyamagana,2017,1,0.62635
Nyamagana,2017,2,0.61115
Nyamagana,2017,3,0.66865
Nyamagana,2017,4,0.70585
Nyamagana,2017,5,0.67945
Nyamagana,2017,6,0.5139
Nyamagana,2017,7,0.45925
Nyamagana,2017,8,0.4338
Nyamagana,2017,9,0.39215
Nyamagana,2017,10,0.4439
Nyamagana,2017,11,0.50095
Nyamagana,2017,12,0.5312
Nyamagana,2018,1,0.5988
Nyamagana,2018,2,0.60595
Nyamagana,2018,3,0.72955
Nyamagana,2018,4,0.74905
Nyamagana,2018,5,0.67545
Nyamagana,2018,6,0.5482
Nyamagana,2018,7,0.5127
Nyamagana,2018,8,0.52945
Nyamagana,2018,9,0.5865
Nyamagana,2018,10,0.533
Nyamagana,2018,11,0.59205
Nyamagana,2018,12,0.66895
Nyamagana,2019,1,0.6502
Nyamagana,2019,2,0.6352
Nyamagana,2019,3,0.6107
Nyamagana,2019,4,0.6728
Nyamagana,2019,5,0.6137
Nyamagana,2019,6,0.61345
Nyamagana,2019,7,0.52515
Nyamagana,2019,8,0.44745
Nyamagana,2019,9,0.43245
Nyamagana,2019,10,0.6089
Nyamagana,2019,11,0.593
Nyamagana,2019,12,0.646
Nyamagana,2020,1,0.56705
Nyamagana,2020,2,0.73915
Nyamagana,2020,3,0.70935
Nyamagana,2020,4,0.7001
Nyamagana,2020,5,0.67175
Nyamagana,2020,6,0.6422
Nyamagana,2020,7,0.4962
Nyamagana,2020,8,0.4561
Nyamagana,2020,9,0.4973
Nyamagana,2020,10,0.5458
Nyamagana,2020,11,0.5535
Nyamagana,2020,12,0.65725
Nyamagana,2021,1,0.66355
Nyamagana,2021,2,0.6443
Nyamagana,2021,3,0.67675
Nyamagana,2021,4,0.6096
Nyamagana,2021,5,0.60765
Nyamagana,2021,6,0.5702
Nyamagana,2021,7,0.49215
Nyamagana,2021,8,0.5374
Nyamagana,2021,9,0.53975
Nyamagana,2021,10,0.5178
Nyamagana,2021,11,0.5552
Nyamagana,2021,12,0.59205
Nyamagana,2022,1,0.5832
Nyamagana,2022,2,0.60785
Nyamagana,2022,3,0.6329
Nyamagana,2022,4,0.72905
Nyamagana,2022,5,0.6748
Nyamagana,2022,6,0.568
Nyamagana,2022,7,0.45555
Nyamagana,2022,8,0.4731
Nyamagana,2022,9,0.4434
Nyamagana,2022,10,0.3943
Nyamagana,2022,11,0.50955
Nyamagana,2022,12,0.61945
Nyamagana,2023,1,0.6298
Nyamagana,2023,2,0.65855
Nyamagana,2023,3,0.649
Nyamagana,2023,4,0.6318
Nyamagana,2023,5,0.6756
Nyamagana,2023,6,0.5562
Nyamagana,2023,7,0.50365
Nyamagana,2023,8,0.47615
Nyamagana,2023,9,0.5873
Nyamagana,2023,10,0.6545
Nyamagana,2023,11,0.63755
Nyamagana,2023,12,0.64705
Nyamagana,2024,1,0.6417
Nyamagana,2024,2,0.6861
Nyamagana,2024,3,0.69975
