river,year,month,ndvi
Mpanda,2014,8,0.71735
Mpanda,2014,9,0.6141
Mpanda,2014,10,0.5628
Mpanda,2014,11,0.6367
Mpanda,2014,12,0.68825
Mpanda,2015,1,0.6371
Mpanda,2015,2,0.6673
Mpanda,2015,3,0.797
Mpanda,2015,4,0.23315
Mpanda,2015,5,0.8549
Mpanda,2015,6,0.82535
Mpanda,2015,7,0.81945
Mpanda,2015,8,0.83715
Mpanda,2015,9,0.78005
Mpanda,2015,10,0.3852
Mpanda,2015,11,0.4819
Mpanda,2015,12,0.4187
Mpanda,2016,1,0.53705
Mpanda,2016,2,0.23935
Mpanda,2016,3,0.55155
Mpanda,2016,4,0.5799
Mpanda,2016,5,0.4854
Mpanda,2016,6,0.71495
Mpanda,2016,7,0.78985
Mpanda,2016,8,0.6931
Mpanda,2016,9,0.7724
Mpanda,2016,10,0.5044
Mpanda,2016,11,0.1713
Mpanda,2016,12,0.4463
Mpanda,2017,1,0.72375
Mpanda,2017,2,0.7321
Mpanda,2017,3,0.38555
Mpanda,2017,4,0.25835
Mpanda,2017,5,0.822
Mpanda,2017,6,0.6446
Mpanda,2017,7,0.8278
Mpanda,2017,8,0.5679
Mpanda,2017,9,0.7976
Mpanda,2017,10,0.4134
Mpanda,2017,11,0.2621
Mpanda,2017,12,0.1281
Mpanda,2018,1,0.7232
Mpanda,2018,2,0.5539
Mpanda,2018,3,0.274
Mpanda,2018,4,0.8067
Mpanda,2018,5,0.76425
Mpanda,2018,6,0.5952
Mpanda,2018,7,0.82255
Mpanda,2018,8,0.8022
Mpanda,2018,9,0.80345
Mpanda,2018,10,0.625
Mpanda,2018,11,0.68835
Mpanda,2018,12,0.46715
Mpanda,2019,1,0.5977
Mpanda,2019,2,0.7762
Mpanda,2019,3,0.6995
Mpanda,2019,4,0.6253
Mpanda,2019,5,0.2571
Mpanda,2019,6,0.84145
Mpanda,2019,7,0.82115
Mpanda,2019,8,0.5882
Mpanda,2019,9,0.65955
Mpanda,2019,10,0.0916
Mpanda,2019,11,0.47995
Mpanda,2019,12,0.67285
Mpanda,2020,1,0.69685
Mpanda,2020,2,0.80085
Mpanda,2020,3,0.586
Mpanda,2020,4,0.5838
Mpanda,2020,5,0.602
Mpanda,2020,6,0.66505
Mpanda,2020,7,0.8336
Mpanda,2020,8,0.71295
Mpanda,2020,9,0.51495
Mpanda,2020,10,0.6507
Mpanda,2020,11,0.8357
Mpanda,2020,12,0.34415
Mpanda,2021,1,0.8569
Mpanda,2021,2,0.70855
Mpanda,2021,3,0.6029
Mpanda,2021,4,0.226
Mpanda,2021,5,0.5796
Mpanda,2021,6,0.8369
Mpanda,2021,7,0.81835
Mpanda,2021,8,0.84585
Mpanda,2021,9,0.8179
Mpanda,2021,10,0.3108
Mpanda,2021,11,0.7822
Mpanda,2021,12,0.34015
Mpanda,2022,1,0.7828
Mpanda,2022,2,0.7735
Mpanda,2022,3,0.8315
Mpanda,2022,4,0.2094
Mpanda,2022,5,0.32605
Mpanda,2022,6,0.8347
Mpanda,2022,7,0.81085
Mpanda,2022,8,0.85005
Mpanda,2022,9,0.7149
Mpanda,2022,10,0.3478
Mpanda,2022,11,0.26215
Mpanda,2022,12,0.83245
Mpanda,2023,1,0.83325
Mpanda,2023,2,0.77345
Mpanda,2023,3,0.284
Mpanda,2023,4,0.21995
Mpanda,2023,5,0.31665
Mpanda,2023,6,0.86075
Mpanda,2023,7,0.8217
Mpanda,2023,8,0.83445
Mpanda,2023,9,0.62785
Mpanda,2023,10,0.7914
Mpanda,2023,11,0.34795
Mpanda,2023,12,0.55845
Mpanda,2024,1,0.5037
Mpanda,2024,2,0.83845
Mpanda,2024,3,0.49105
Mpanda,2024,4,0.40235
Mpanda,2024,5,0.53015
Mpanda,2024,6,0.8434
Mpanda,2024,7,0.79365
Mpanda,2024,8,0.8017
Mpanda,2024,9,0.54245
Mpanda,2024,10,0.29195
Mpanda,2024,11,0.2601
Mpanda,2024,12,0.83995
Mpanda,2025,1,0.4802
Mpanda,2025,2,0.7814
Mpanda,2025,3,0.6869
Mpanda,2025,4,0.4931
Mpanda,2025,5,0.33125
Mpanda,2025,6,0.8334
Mpanda,2025,7,0.81065
Mpanda,2025,8,0.8122
Mpanda,2025,9,0.78725
Mpanda,2025,10,0.7388
Mpanda,2025,11,0.57485
Mpanda,2025,12,0.813
