river,year,month,ndvi
Kaburantwa,2014,11,0.5828
Kaburantwa,2014,12,0.6283
Kaburantwa,2015,1,0.5777
Kaburantwa,2015,2,0.53975
Kaburantwa,2015,3,0.5994
Kaburantwa,2015,4,0.7097
Kaburantwa,2015,5,0.6437
Kaburantwa,2015,6,0.557
Kaburantwa,2015,7,0.47845
Kaburantwa,2015,8,0.4214
Kaburantwa,2015,9,0.43065
Kaburantwa,2015,10,0.5067
Kaburantwa,2015,11,0.61435
Kaburantwa,2015,12,0.6946
Kaburantwa,2016,1,0.657
Kaburantwa,2016,2,0.6235
Kaburantwa,2016,3,0.6579
Kaburantwa,2016,4,0.7715
Kaburantwa,2016,5,0.6922
Kaburantwa,2016,6,0.5814
Kaburantwa,2016,7,0.50525
Kaburantwa,2016,8,0.4355
Kaburantwa,2016,9,0.4789
Kaburantwa,2016,10,0.53065
Kaburantwa,2016,11,0.4951
Kaburantwa,2016,12,0.62815
Kaburantwa,2017,1,0.62635
Kaburantwa,2017,2,0.61115
Kaburantwa,2017,3,0.66865
Kaburantwa,2017,4,0.70585
Kaburantwa,2017,5,0.67945
Kaburantwa,2017,6,0.5139
Kaburantwa,2017,7,0.45925
Kaburantwa,2017,8,0.4338
Kaburantwa,2017,9,0.39215
Kaburantwa,2017,10,0.4439
Kaburantwa,2017,11,0.50095
Kaburantwa,2017,12,0.5312
Kaburantwa,2018,1,0.5988
Kaburantwa,2018,2,0.60595
Kaburantwa,2018,3,0.72955
Kaburantwa,2018,4,0.74905
Kaburantwa,2018,5,0.67545
Kaburantwa,2018,6,0.5482
Kaburantwa,2018,7,0.5127
Kaburantwa,2018,8,0.52945
Kaburantwa,2018,9,0.5865
Kaburantwa,2018,10,0.533
Kaburantwa,2018,11,0.59205
Kaburantwa,2018,12,0.66895
Kaburantwa,2019,1,0.6502
Kaburantwa,2019,2,0.6352
Kaburantwa,2019,3,0.6107
Kaburantwa,2019,4,0.6728
Kaburantwa,2019,5,0.6137
Kaburantwa,2019,6,0.61345
Kaburantwa,2019,7,0.52515
Kaburantwa,2019,8,0.44745
Kaburantwa,2019,9,0.43245
Kaburantwa,2019,10,0.6089
Kaburantwa,2019,11,0.593
Kaburantwa,2019,12,0.646
Kaburantwa,2020,1,0.56705
Kaburantwa,2020,2,0.73915
Kaburantwa,2020,3,0.70935
Kaburantwa,2020,4,0.7001
Kaburantwa,2020,5,0.67175
Kaburantwa,2020,6,0.6422
Kaburantwa,2020,7,0.4962
Kaburantwa,2020,8,0.4561
Kaburantwa,2020,9,0.4973
Kaburantwa,2020,10,0.5458
Kaburantwa,2020,11,0.5535
Kaburantwa,2020,12,0.65725
Kaburantwa,2021,1,0.66355
Kaburantwa,2021,2,0.6443
Kaburantwa,2021,3,0.67675
Kaburantwa,2021,4,0.6096
Kaburantwa,2021,5,0.60765
Kaburantwa,2021,6,0.5702
Kaburantwa,2021,7,0.49215
Kaburantwa,2021,8,0.5374
Kaburantwa,2021,9,0.53975
Kaburantwa,2021,10,0.5178
Kaburantwa,2021,11,0.5552
Kaburantwa,2021,12,0.59205
Kaburantwa,2022,1,0.5832
Kaburantwa,2022,2,0.60785
Kaburantwa,2022,3,0.6329
Kaburantwa,2022,4,0.72905
Kaburantwa,2022,5,0.6748
Kaburantwa,2022,6,0.568
Kaburantwa,2022,7,0.45555
Kaburantwa,2022,8,0.4731
Kaburantwa,2022,9,0.4434
Kaburantwa,2022,10,0.3943
Kaburantwa,2022,11,0.50955
Kaburantwa,2022,12,0.61945
Kaburantwa,2023,1,0.6298
Kaburantwa,2023,2,0.65855
Kaburantwa,2023,3,0.649
Kaburantwa,2023,4,0.6318
Kaburantwa,2023,5,0.6756
Kaburantwa,2023,6,0.5562
Kaburantwa,2023,7,0.50365
Kaburantwa,2023,8,0.47615
Kaburantwa,2023,9,0.5873
Kaburantwa,2023,10,0.6545
Kaburantwa,2023,11,0.63755
Kaburantwa,2023,12,0.64705
Kaburantwa,2024,1,0.6417
Kaburantwa,2024,2,0.6861
Kaburantwa,2024,3,0.69975
Kaburantwa,2024,4,0.71485
Kaburantwa,2024,5,0.6817
Kaburantwa,2024,6,0.58305
Kaburantwa,2024,7,0.50215
Kaburantwa,2024,8,0.46145
Kaburantwa,2024,9,0.44645
Kaburantwa,2024,10,0.5572
Kaburantwa,2024,11,0.6716
Kaburantwa,2024,12,0.70355
Kaburantwa,2025,1,0.64185
Kaburantwa,2025,2,0.72125
Kaburantwa,2025,3,0.7524
Kaburantwa,2025,4,0.68175
Kaburantwa,2025,5,0.68255
Kaburantwa,2025,6,0.59695
Kaburantwa,2025,7,0.5268
Kaburantwa,2025,8,0.454
Kaburantwa,2025,9,0.4172
Kaburantwa,2025,10,0.4594
Kaburantwa,2025,11,0.57035
Kaburantwa,2025,12,0.6599
