river,year,month,ndvi
Rusizi,2016,9,0.4347
Rusizi,2016,10,0.50465
Rusizi,2016,11,0.4503
Rusizi,2016,12,0.74055
Rusizi,2017,1,0.5381
Rusizi,2017,2,0.72385
Rusizi,2017,3,0.76555
Rusizi,2017,4,0.7735
Rusizi,2017,5,0.73535
Rusizi,2017,6,0.59965
Rusizi,2017,7,0.3744
Rusizi,2017,8,0.4745
Rusizi,2017,9,0.50185
Rusizi,2017,10,0.5807
Rusizi,2017,11,0.5016
Rusizi,2017,12,0.66615
Rusizi,2018,1,0.75435
Rusizi,2018,2,0.7987
Rusizi,2018,3,0.6632
Rusizi,2018,4,0.72515
Rusizi,2018,5,0.76065
Rusizi,2018,6,0.67175
Rusizi,2018,7,0.6143
Rusizi,2018,8,0.53505
Rusizi,2018,9,0.48035
Rusizi,2018,10,0.6062
Rusizi,2018,11,0.67395
Rusizi,2018,12,0.73685
Rusizi,2019,1,0.7249
Rusizi,2019,2,0.7906
Rusizi,2019,3,0.7551
Rusizi,2019,4,0.69785
Rusizi,2019,5,0.72335
Rusizi,2019,6,0.6449
Rusizi,2019,7,0.58595
Rusizi,2019,8,0.4677
Rusizi,2019,9,0.5938
Rusizi,2019,10,0.4374
Rusizi,2019,11,0.78765
Rusizi,2019,12,0.80465
Rusizi,2020,1,0.7922
Rusizi,2020,2,0.81505
Rusizi,2020,3,0.8036
Rusizi,2020,4,0.7764
Rusizi,2020,5,0.69745
Rusizi,2020,6,0.68515
Rusizi,2020,7,0.6084
Rusizi,2020,8,0.5191
Rusizi,2020,9,0.4225
Rusizi,2020,10,0.66515
Rusizi,2020,11,0.8044
Rusizi,2020,12,0.80035
Rusizi,2021,1,0.80145
Rusizi,2021,2,0.7849
Rusizi,2021,3,0.80835
Rusizi,2021,4,0.53785
Rusizi,2021,5,0.6723
Rusizi,2021,6,0.65625
Rusizi,2021,7,0.5655
Rusizi,2021,8,0.62945
Rusizi,2021,9,0.69175
Rusizi,2021,10,0.6141
Rusizi,2021,11,0.62175
Rusizi,2021,12,0.75865
Rusizi,2022,1,0.63815
Rusizi,2022,2,0.7208
Rusizi,2022,3,0.76425
Rusizi,2022,4,0.78355
Rusizi,2022,5,0.7456
Rusizi,2022,6,0.6223
Rusizi,2022,7,0.45625
