river,year,month,ndvi
Nyengwe,2015,11,0.007
Nyengwe,2015,12,
Nyengwe,2016,1,0.0415
Nyengwe,2016,2,0.0169
Nyengwe,2016,3,
Nyengwe,2016,4,0.0278
Nyengwe,2016,5,-0.1415
Nyengwe,2016,6,0.0038
Nyengwe,2016,7,-0.0032
Nyengwe,2016,8,0.0576
Nyengwe,2016,9,0.0122
Nyengwe,2016,10,-0.02005
Nyengwe,2016,11,
Nyengwe,2016,12,0.0137
Nyengwe,2017,1,0.01385
Nyengwe,2017,2,0.03515
Nyengwe,2017,3,-0.01785
Nyengwe,2017,4,0.02035
Nyengwe,2017,5,
Nyengwe,2017,6,0.0106
Nyengwe,2017,7,0.0099
Nyengwe,2017,8,-0.02745
Nyengwe,2017,9,-0.0068
Nyengwe,2017,10,
Nyengwe,2017,11,-0.009
Nyengwe,2017,12,-0.02025
Nyengwe,2018,1,-0.00785
Nyengwe,2018,2,0.0422
Nyengwe,2018,3,0.0274
Nyengwe,2018,4,-0.0165
Nyengwe,2018,5,-0.0077
Nyengwe,2018,6,-0.1182
Nyengwe,2018,7,-0.0313
Nyengwe,2018,8,-0.0708
Nyengwe,2018,9,
Nyengwe,2018,10,0.0062
Nyengwe,2018,11,-0.02515
Nyengwe,2018,12,0.12015
Nyengwe,2019,1,0.15535
Nyengwe,2019,2,0.01645
Nyengwe,2019,3,0.0955
Nyengwe,2019,4,0.0709
Nyengwe,2019,5,-0.0178
Nyengwe,2019,6,-0.0026
Nyengwe,2019,7,-0.04195
Nyengwe,2019,8,-0.029
Nyengwe,2019,9,0.15705
Nyengwe,2019,10,0.0004
Nyengwe,2019,11,0.0068
Nyengwe,2019,12,0.0182
Nyengwe,2020,1,-0.0412
Nyengwe,2020,2,0.14865
Nyengwe,2020,3,0.1707
Nyengwe,2020,4,0.027
Nyengwe,2020,5,0.0919
Nyengwe,2020,6,0.0314
Nyengwe,2020,7,0.44225
Nyengwe,2020,8,-0.0753
Nyengwe,2020,9,-0.05785
Nyengwe,2020,10,0.0091
Nyengwe,2020,11,0.2203
Nyengwe,2020,12,0.0198
Nyengwe,2021,1,0.33445
Nyengwe,2021,2,0.00625
Nyengwe,2021,3,0.0668
Nyengwe,2021,4,0.01695
Nyengwe,2021,5,0.201
Nyengwe,2021,6,-0.1764
Nyengwe,2021,7,0.0262
Nyengwe,2021,8,-0.0006
Nyengwe,2021,9,0.0688
Nyengwe,2021,10,
Nyengwe,2021,11,-0.0102
Nyengwe,2021,12,0.0165
Nyengwe,2022,1,0.0144
Nyengwe,2022,2,0.0176
Nyengwe,2022,3,0.0366
Nyengwe,2022,4,
Nyengwe,2022,5,0.0249
Nyengwe,2022,6,0.035
Nyengwe,2022,7,0.8461
Nyengwe,2022,8,-0.1097
Nyengwe,2022,9,0.0586
Nyengwe,2022,10,-0.0672
Nyengwe,2022,11,-0.0397
Nyengwe,2022,12,0.007
Nyengwe,2023,1,0.0057
