date,river,raw_water_level
2015-04-01,Nyamagana,1.1760000000000004
2015-05-01,Nyamagana,1.1390322580645165
2015-06-01,Nyamagana,1.0103333333333333
2015-07-01,Nyamagana,0.8641935483870967
2015-08-01,Nyamagana,0.7870967741935487
2015-09-01,Nyamagana,0.8093333333333335
2015-10-01,Nyamagana,0.903225806451613
2015-11-01,Nyamagana,1.1
2015-12-01,Nyamagana,
2016-01-01,Nyamagana,1.1022580645161288
2016-02-01,Nyamagana,1.0862068965517246
2016-03-01,Nyamagana,1.1000000000000003
2016-04-01,Nyamagana,1.1383333333333332
2016-05-01,Nyamagana,1.1961290322580649
2016-06-01,Nyamagana,0.9486666666666662
2016-07-01,Nyamagana,0.8016129032258064
2016-08-01,Nyamagana,0.796451612903226
2016-09-01,Nyamagana,0.7313333333333333
2016-10-01,Nyamagana,0.7280645161290321
2016-11-01,Nyamagana,0.7683333333333333
2016-12-01,Nyamagana,0.7329032258064515
2017-01-01,Nyamagana,0.7238709677419353
2017-02-01,Nyamagana,0.9378571428571424
2017-03-01,Nyamagana,0.9838709677419356
2017-04-01,Nyamagana,0.9713333333333336
2017-05-01,Nyamagana,0.933548387096774
2017-06-01,Nyamagana,0.805
2017-07-01,Nyamagana,0.7590322580645159
2017-08-01,Nyamagana,0.7758064516129033
2017-09-01,Nyamagana,0.8036666666666665
2017-10-01,Nyamagana,0.83
2017-11-01,Nyamagana,0.9743333333333332
2017-12-01,Nyamagana,0.855483870967742
2018-01-01,Nyamagana,0.9803225806451616
2018-02-01,Nyamagana,1.0775
2018-03-01,Nyamagana,0.9648387096774196
2018-04-01,Nyamagana,1.2456666666666671
2018-05-01,Nyamagana,1.150967741935484
2018-06-01,Nyamagana,0.918333333333333
2018-07-01,Nyamagana,0.8112903225806455
2018-08-01,Nyamagana,0.8332258064516127
2018-09-01,Nyamagana,0.7456666666666664
2018-10-01,Nyamagana,0.91258064516129
2018-11-01,Nyamagana,0.8563333333333334
2018-12-01,Nyamagana,0.9729032258064516
2019-01-01,Nyamagana,0.9345161290322578
2019-02-01,Nyamagana,0.903214285714286
2019-03-01,Nyamagana,0.9280645161290324
2019-04-01,Nyamagana,0.8796666666666667
2019-05-01,Nyamagana,0.8658064516129036
2019-06-01,Nyamagana,0.7629999999999998
2019-07-01,Nyamagana,0.7229032258064515
2019-08-01,Nyamagana,0.6783870967741937
2019-09-01,Nyamagana,0.7233333333333334
2019-10-01,Nyamagana,0.8164516129032259
2019-11-01,Nyamagana,0.931333333333333
2019-12-01,Nyamagana,1.3529032258064515
2020-01-01,Nyamagana,0.9422580645161286
2020-02-01,Nyamagana,0.97551724137931
2020-03-01,Nyamagana,0.8493548387096773
2020-04-01,Nyamagana,1.0243333333333335
2020-05-01,Nyamagana,0.7141935483870967
2020-06-01,Nyamagana,0.4173333333333333
2020-07-01,Nyamagana,0.3293548387096775
2020-08-01,Nyamagana,0.3012903225806452
2020-09-01,Nyamagana,0.3136666666666668
2020-10-01,Nyamagana,0.3832258064516129
2020-11-01,Nyamagana,0.714
2020-12-01,Nyamagana,0.7829032258064514
2021-01-01,Nyamagana,0.8374193548387097
2021-02-01,Nyamagana,0.6678571428571429
2021-03-01,Nyamagana,0.522258064516129
2021-04-01,Nyamagana,0.6829999999999999
2021-05-01,Nyamagana,0.5512903225806451
2021-06-01,Nyamagana,0.2783333333333332
2021-07-01,Nyamagana,0.257741935483871
2021-08-01,Nyamagana,0.2329032258064516
2021-09-01,Nyamagana,0.3123333333333333
2021-10-01,Nyamagana,0.272258064516129
2021-11-01,Nyamagana,0.2526666666666666
2021-12-01,Nyamagana,0.2006451612903226
2022-01-01,Nyamagana,0.177741935483871
2022-02-01,Nyamagana,0.2875
2022-03-01,Nyamagana,0.3251612903225805
2022-04-01,Nyamagana,0.6636666666666667
2022-05-01,Nyamagana,0.476774193548387
2022-06-01,Nyamagana,0.2453333333333334
2022-07-01,Nyamagana,0.2109677419354839
2022-08-01,Nyamagana,0.2593548387096774
2022-09-01,Nyamagana,0.2366666666666667
2022-10-01,Nyamagana,0.1980645161290323
2022-11-01,Nyamagana,0.2816666666666666
2022-12-01,Nyamagana,0.3216129032258065
2023-01-01,Nyamagana,0.2941935483870967
2023-02-01,Nyamagana,0.3757142857142858
2023-03-01,Nyamagana,0.4893548387096774
2023-04-01,Nyamagana,0.6333333333333333
2023-05-01,Nyamagana,0.5983870967741935
2023-06-01,Nyamagana,0.2856666666666667
2023-07-01,Nyamagana,0.1906451612903225
2023-08-01,Nyamagana,0.177741935483871
2023-09-01,Nyamagana,0.2646666666666667
2023-10-01,Nyamagana,0.3300000000000001
2023-11-01,Nyamagana,0.4213333333333333
2023-12-01,Nyamagana,0.3893548387096774
2024-01-01,Nyamagana,0.5387096774193548
2024-02-01,Nyamagana,0.4655172413793103
2024-03-01,Nyamagana,0.5783870967741935
2024-04-01,Nyamagana,0.7043333333333331
2024-05-01,Nyamagana,0.427741935483871
2024-06-01,Nyamagana,0.2663333333333334
2024-07-01,Nyamagana,0.2103225806451613
2024-08-01,Nyamagana,0.2470967741935483
2024-09-01,Nyamagana,0.2556666666666667
2024-10-01,Nyamagana,0.2580645161290322
2024-11-01,Nyamagana,
2024-12-01,Nyamagana,0.48
