date,river,raw_water_level
2014-08-01,Mutimbuzi,
2014-09-01,Mutimbuzi,
2014-10-01,Mutimbuzi,
2014-11-01,Mutimbuzi,
2014-12-01,Mutimbuzi,
2015-01-01,Mutimbuzi,
2015-02-01,Mutimbuzi,
2015-03-01,Mutimbuzi,
2015-04-01,Mutimbuzi,
2015-05-01,Mutimbuzi,
2015-06-01,Mutimbuzi,
2015-07-01,Mutimbuzi,
2015-08-01,Mutimbuzi,
2015-09-01,Mutimbuzi,
2015-10-01,Mutimbuzi,
2015-11-01,Mutimbuzi,
2015-12-01,Mutimbuzi,
2016-01-01,Mutimbuzi,
2016-02-01,Mutimbuzi,
2016-03-01,Mutimbuzi,
2016-04-01,Mutimbuzi,
2016-05-01,Mutimbuzi,
2016-06-01,Mutimbuzi,
2016-07-01,Mutimbuzi,
2016-08-01,Mutimbuzi,
2016-09-01,Mutimbuzi,
2016-10-01,Mutimbuzi,
2016-11-01,Mutimbuzi,
2016-12-01,Mutimbuzi,
2017-01-01,Mutimbuzi,
2017-02-01,Mutimbuzi,
2017-03-01,Mutimbuzi,
2017-04-01,Mutimbuzi,
2017-05-01,Mutimbuzi,
2017-06-01,Mutimbuzi,
2017-07-01,Mutimbuzi,
2017-08-01,Mutimbuzi,
2017-09-01,Mutimbuzi,
2017-10-01,Mutimbuzi,
2017-11-01,Mutimbuzi,0.4836666666666666
2017-12-01,Mutimbuzi,0.4983870967741937
2018-01-01,Mutimbuzi,0.6751612903225804
2018-02-01,Mutimbuzi,0.6107142857142857
2018-03-01,Mutimbuzi,1.2429032258064516
2018-04-01,Mutimbuzi,2.5196666666666667
2018-05-01,Mutimbuzi,2.3845161290322583
2018-06-01,Mutimbuzi,1.0333333333333332
2018-07-01,Mutimbuzi,1.474193548387097
2018-08-01,Mutimbuzi,1.1861290322580649
2018-09-01,Mutimbuzi,1.0963333333333336
2018-10-01,Mutimbuzi,1.2374193548387096
2018-11-01,Mutimbuzi,1.8776666666666664
2018-12-01,Mutimbuzi,1.5187096774193547
2019-01-01,Mutimbuzi,1.506774193548387
2019-02-01,Mutimbuzi,1.5485714285714285
2019-03-01,Mutimbuzi,1.64741935483871
2019-04-01,Mutimbuzi,1.828
2019-05-01,Mutimbuzi,1.8264516129032256
2019-06-01,Mutimbuzi,1.3486666666666665
2019-07-01,Mutimbuzi,0.8606451612903223
2019-08-01,Mutimbuzi,0.7054838709677419
2019-09-01,Mutimbuzi,0.543
