date,name,NDVI_mean
02-18-00,Buzimba,0.6627840000000000
02-18-00,Mulembwe,0.6571390000000000
02-18-00,Jiji,0.6627840000000000
02-18-00,Mutimbuzi,0.6730159999999999
02-18-00,Rusizi,0.6263470000000000
02-18-00,Kaburantwa,0.5683009999999999
02-18-00,Nyamagana,0.5747460000000000
02-18-00,Mpanda,0.6688890000000000
02-18-00,Nyakagunda,0.6599570000000000
02-18-00,Nyengwe,0.6627840000000000
03-05-00,Buzimba,0.2577060000000000
03-05-00,Mulembwe,0.5750230000000000
03-05-00,Jiji,0.2577060000000000
03-05-00,Mutimbuzi,0.6059010000000000
03-05-00,Rusizi,0.5561730000000000
03-05-00,Kaburantwa,0.6206220000000000
03-05-00,Nyamagana,0.6019710000000000
03-05-00,Mpanda,0.6589350000000000
03-05-00,Nyakagunda,0.6850420000000000
03-05-00,Nyengwe,0.2577060000000000
03-21-00,Buzimba,0.286130000000000
03-21-00,Mulembwe,0.5068460000000000
03-21-00,Jiji,0.286130000000000
03-21-00,Mutimbuzi,0.5825680000000000
03-21-00,Rusizi,0.37701800000000002
03-21-00,Kaburantwa,0.4216980000000000
03-21-00,Nyamagana,0.66051700000000
03-21-00,Mpanda,0.6477309999999999
03-21-00,Nyakagunda,0.6907360000000000
03-21-00,Nyengwe,0.286130000000000
04-06-00,Buzimba,0.2844050000000000
04-06-00,Mulembwe,0.5308270000000000
04-06-00,Jiji,0.2844050000000000
04-06-00,Mutimbuzi,0.6447560000000000
04-06-00,Rusizi,0.48010999999999998
04-06-00,Kaburantwa,0.5545080000000000
04-06-00,Nyamagana,0.626428000000000
04-06-00,Mpanda,0.6862220000000000
04-06-00,Nyakagunda,0.6587350000000000
04-06-00,Nyengwe,0.2844050000000000
04-22-00,Buzimba,0.24957599999999999
04-22-00,Mulembwe,0.5807790000000000
04-22-00,Jiji,0.24957599999999999
04-22-00,Mutimbuzi,0.5934650000000000
04-22-00,Rusizi,0.36558299999999999
04-22-00,Kaburantwa,0.5476259999999999
04-22-00,Nyamagana,0.5650130000000000
04-22-00,Mpanda,0.6155210000000000
04-22-00,Nyakagunda,0.6094889999999999
04-22-00,Nyengwe,0.24957599999999999
05-08-00,Buzimba,0.45199899999999998
05-08-00,Mulembwe,0.5766310000000000
05-08-00,Jiji,0.45199899999999998
05-08-00,Mutimbuzi,0.6290550000000000
05-08-00,Rusizi,0.4367300000000000
05-08-00,Kaburantwa,0.7044319999999999
05-08-00,Nyamagana,0.5049910000000000
05-08-00,Mpanda,0.6563860000000000
05-08-00,Nyakagunda,0.6526200000000000
05-08-00,Nyengwe,0.45199899999999998
05-24-00,Buzimba,0.39640399999999998
05-24-00,Mulembwe,0.5872980000000000
05-24-00,Jiji,0.39640399999999998
05-24-00,Mutimbuzi,0.6277940000000000
05-24-00,Rusizi,0.48072799999999999
05-24-00,Kaburantwa,0.664672000000000
05-24-00,Nyamagana,0.44242500000000001
05-24-00,Mpanda,0.6050410000000001
05-24-00,Nyakagunda,0.5854440000000000
05-24-00,Nyengwe,0.39640399999999998
06-09-00,Buzimba,0.21933000000000000
06-09-00,Mulembwe,0.5474830000000001
06-09-00,Jiji,0.21933000000000000
06-09-00,Mutimbuzi,0.5667120000000000
06-09-00,Rusizi,0.42004799999999998
06-09-00,Kaburantwa,0.7309990000000000
06-09-00,Nyamagana,0.39263399999999998
06-09-00,Mpanda,0.5942440000000000
06-09-00,Nyakagunda,0.5820640000000000
06-09-00,Nyengwe,0.21933000000000000
06-25-00,Buzimba,0.20998200000000000
06-25-00,Mulembwe,0.5096710000000000
06-25-00,Jiji,0.20998200000000000
06-25-00,Mutimbuzi,0.529664000000000
06-25-00,Rusizi,0.345190000000000
06-25-00,Kaburantwa,0.6735750000000000
06-25-00,Nyamagana,0.3624240000000000
06-25-00,Mpanda,0.556732000000000
06-25-00,Nyakagunda,0.48542099999999999
06-25-00,Nyengwe,0.20998200000000000
07-11-00,Buzimba,0.26358799999999999
07-11-00,Mulembwe,0.47578700000000002
07-11-00,Jiji,0.26358799999999999
07-11-00,Mutimbuzi,0.4844090000000000
07-11-00,Rusizi,0.41286899999999999
07-11-00,Kaburantwa,0.6455149999999999
07-11-00,Nyamagana,0.3480460000000000
07-11-00,Mpanda,0.5108160000000000
07-11-00,Nyakagunda,0.5110090000000000
07-11-00,Nyengwe,0.26358799999999999
07-27-00,Buzimba,0.16373499999999999
07-27-00,Mulembwe,0.4223100000000000
07-27-00,Jiji,0.16373499999999999
07-27-00,Mutimbuzi,0.46677099999999999
07-27-00,Rusizi,0.3611850000000000
07-27-00,Kaburantwa,0.6589420000000000
07-27-00,Nyamagana,0.32490100000000000
07-27-00,Mpanda,0.4917300000000000
07-27-00,Nyakagunda,0.4725840000000000
07-27-00,Nyengwe,0.16373499999999999
08-12-00,Buzimba,0.4592430000000000
08-12-00,Mulembwe,0.43762499999999999
08-12-00,Jiji,0.4592430000000000
08-12-00,Mutimbuzi,0.4503340000000000
08-12-00,Rusizi,0.49100800000000000
08-12-00,Kaburantwa,0.643578000000000
08-12-00,Nyamagana,0.3028860000000000
08-12-00,Mpanda,0.4623620000000000
08-12-00,Nyakagunda,0.46235799999999999
08-12-00,Nyengwe,0.4592430000000000
08-28-00,Buzimba,0.10770800000000000
08-28-00,Mulembwe,0.375672000000000
08-28-00,Jiji,0.10770800000000000
08-28-00,Mutimbuzi,0.39454699999999998
08-28-00,Rusizi,0.38488400000000000
08-28-00,Kaburantwa,0.6062100000000000
08-28-00,Nyamagana,0.28232099999999999
08-28-00,Mpanda,0.43367000000000000
08-28-00,Nyakagunda,0.41509400000000002
08-28-00,Nyengwe,0.10770800000000000
09-13-00,Buzimba,0.21316499999999999
09-13-00,Mulembwe,0.3897210000000000
09-13-00,Jiji,0.21316499999999999
09-13-00,Mutimbuzi,0.41208400000000001
09-13-00,Rusizi,0.3742540000000000
09-13-00,Kaburantwa,0.5768000000000000
09-13-00,Nyamagana,0.30008299999999999
09-13-00,Mpanda,0.43474400000000002
09-13-00,Nyakagunda,0.40030600000000000
09-13-00,Nyengwe,0.21316499999999999
09-29-00,Buzimba,0.16939899999999999
09-29-00,Mulembwe,0.36048700000000000
09-29-00,Jiji,0.16939899999999999
09-29-00,Mutimbuzi,0.4010500000000000
09-29-00,Rusizi,0.2840600000000000
