date,lake_level_m,lake_level_n_obs,era5_t2m_C,era5_d2m_C,era5_tp_mm,era5_msl_hPa,era5_u10,era5_v10,era5_wind_speed,river_basse_mulembwe_mutambara_level_m,river_buzimba_gatete_level_m,river_dama_mbuga_level_m,river_jiji_ndago_level_m,river_kaburantwa_mission_level_m,river_mpanda_gatura_level_m,river_mulembwe_mutambara_level_m,river_mutimbuzi_pont_aeroport_level_m,river_nyakagunda_musenyi_level_m,river_nyamagana_murambi_level_m,river_nyengwe_rimbo_level_m,river_rusizi_gatumba_level_m,year,month,month_sin,month_cos,lake_level_m_lag_1,lake_level_m_lag_2,lake_level_m_lag_3,lake_level_m_lag_6,lake_level_m_lag_12,era5_tp_mm_lag_1,era5_tp_mm_lag_2,era5_tp_mm_lag_3,era5_tp_mm_lag_6,era5_tp_mm_lag_12,era5_t2m_C_lag_1,era5_t2m_C_lag_2,era5_t2m_C_lag_3,era5_t2m_C_lag_6,era5_t2m_C_lag_12,river_basse_mulembwe_mutambara_level_m_lag_1,river_basse_mulembwe_mutambara_level_m_lag_2,river_basse_mulembwe_mutambara_level_m_lag_3,river_basse_mulembwe_mutambara_level_m_lag_6,river_basse_mulembwe_mutambara_level_m_lag_12,river_buzimba_gatete_level_m_lag_1,river_buzimba_gatete_level_m_lag_2,river_buzimba_gatete_level_m_lag_3,river_buzimba_gatete_level_m_lag_6,river_buzimba_gatete_level_m_lag_12,river_dama_mbuga_level_m_lag_1,river_dama_mbuga_level_m_lag_2,river_dama_mbuga_level_m_lag_3,river_dama_mbuga_level_m_lag_6,river_dama_mbuga_level_m_lag_12,river_jiji_ndago_level_m_lag_1,river_jiji_ndago_level_m_lag_2,river_jiji_ndago_level_m_lag_3,river_jiji_ndago_level_m_lag_6,river_jiji_ndago_level_m_lag_12,river_kaburantwa_mission_level_m_lag_1,river_kaburantwa_mission_level_m_lag_2,river_kaburantwa_mission_level_m_lag_3,river_kaburantwa_mission_level_m_lag_6,river_kaburantwa_mission_level_m_lag_12,river_mpanda_gatura_level_m_lag_1,river_mpanda_gatura_level_m_lag_2,river_mpanda_gatura_level_m_lag_3,river_mpanda_gatura_level_m_lag_6,river_mpanda_gatura_level_m_lag_12,river_mulembwe_mutambara_level_m_lag_1,river_mulembwe_mutambara_level_m_lag_2,river_mulembwe_mutambara_level_m_lag_3,river_mulembwe_mutambara_level_m_lag_6,river_mulembwe_mutambara_level_m_lag_12,river_mutimbuzi_pont_aeroport_level_m_lag_1,river_mutimbuzi_pont_aeroport_level_m_lag_2,river_mutimbuzi_pont_aeroport_level_m_lag_3,river_mutimbuzi_pont_aeroport_level_m_lag_6,river_mutimbuzi_pont_aeroport_level_m_lag_12,river_nyakagunda_musenyi_level_m_lag_1,river_nyakagunda_musenyi_level_m_lag_2,river_nyakagunda_musenyi_level_m_lag_3,river_nyakagunda_musenyi_level_m_lag_6,river_nyakagunda_musenyi_level_m_lag_12,river_nyamagana_murambi_level_m_lag_1,river_nyamagana_murambi_level_m_lag_2,river_nyamagana_murambi_level_m_lag_3,river_nyamagana_murambi_level_m_lag_6,river_nyamagana_murambi_level_m_lag_12,river_nyengwe_rimbo_level_m_lag_1,river_nyengwe_rimbo_level_m_lag_2,river_nyengwe_rimbo_level_m_lag_3,river_nyengwe_rimbo_level_m_lag_6,river_nyengwe_rimbo_level_m_lag_12,river_rusizi_gatumba_level_m_lag_1,river_rusizi_gatumba_level_m_lag_2,river_rusizi_gatumba_level_m_lag_3,river_rusizi_gatumba_level_m_lag_6,river_rusizi_gatumba_level_m_lag_12,lake_level_m_roll_mean_3,lake_level_m_roll_mean_6,lake_level_m_roll_mean_12,lake_level_m_roll_mean_24,lake_level_m_roll_mean_36,era5_tp_mm_roll_mean_3,era5_tp_mm_roll_mean_6,era5_tp_mm_roll_mean_12,era5_tp_mm_roll_mean_24,era5_tp_mm_roll_mean_36,era5_t2m_C_roll_mean_3,era5_t2m_C_roll_mean_6,era5_t2m_C_roll_mean_12,era5_t2m_C_roll_mean_24,era5_t2m_C_roll_mean_36,era5_d2m_C_roll_mean_3,era5_d2m_C_roll_mean_6,era5_d2m_C_roll_mean_12,era5_d2m_C_roll_mean_24,era5_d2m_C_roll_mean_36,era5_wind_speed_roll_mean_3,era5_wind_speed_roll_mean_6,era5_wind_speed_roll_mean_12,era5_wind_speed_roll_mean_24,era5_wind_speed_roll_mean_36,era5_tp_anom,era5_tp_anom_cumsum_3,era5_tp_anom_cumsum_6,era5_tp_anom_cumsum_12,era5_tp_anom_cumsum_24,era5_tp_anom_cumsum_36,lake_level_m_anom,lake_level_m_zscore
1992-10-01,771.293,1,21.080010332661313,14.75322035450271,266.7320369927625,1012.7766008064516,0.014882486940779566,0.2722658342144338,0.272672281132542,,0.8145161290322582,0.4148387096774193,0.4309677419354838,0.4093333333333333,,0.5419354838709677,,0.3712903225806451,0.3006451612903226,1.3125806451612905,,1992,10,-0.8660254037844386,0.5000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.153503844589864,,,,,,0.23817647058820057,0.2729181601038215
1992-11-01,771.3175,2,20.0246079340278,15.061777083333356,382.431924313025,1012.6961202777777,-0.05986477484614583,0.16772225647208158,0.17808578433852165,,0.8313333333333331,0.4843333333333332,0.5906666666666668,0.3558620689655172,,0.8340000000000001,,0.3936666666666666,0.3323333333333334,1.4428571428571428,1.1,1992,11,-0.5000000000000004,0.8660254037844384,771.293,,,,,266.7320369927625,,,,,21.080010332661313,,,,,,,,,,0.8145161290322582,,,,,0.4148387096774193,,,,,0.4309677419354838,,,,,0.4093333333333333,,,,,,,,,,0.5419354838709677,,,,,,,,,,0.3712903225806451,,,,,0.3006451612903226,,,,,1.3125806451612905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.39369852526931,,,,,,0.23655882352943536,0.27072143774687263
1992-12-01,771.5225,2,20.0618546824597,15.766918471102175,341.0319094980775,1013.1075510332662,-0.15935828106392375,0.2509619190240625,0.29728260383663324,,0.8574193548387096,0.5290322580645161,0.7789285714285714,0.4374193548387097,,1.2116129032258067,,0.3996774193548386,0.3135483870967742,1.599354838709678,,1992,12,-2.4492935982947064e-16,1.0,771.3175,771.293,,,,382.431924313025,266.7320369927625,,,,20.0246079340278,21.080010332661313,,,,,,,,,0.8313333333333331,0.8145161290322582,,,,0.4843333333333332,0.4148387096774193,,,,0.5906666666666668,0.4309677419354838,,,,0.3558620689655172,0.4093333333333333,,,,,,,,,0.8340000000000001,0.5419354838709677,,,,,,,,,0.3936666666666666,0.3712903225806451,,,,0.3323333333333334,0.3006451612903226,,,,1.4428571428571428,1.3125806451612905,,,,1.1,,,,,771.30525,,,,,324.5819806528938,,,,,20.552309133344558,,,,,14.907498718918033,,,,,0.22537903273553184,,,,,5.765854932738819,97.54720236985918,,,,,0.30132352941177487,0.34596050054694727
1993-01-01,771.5385,2,20.19837078965056,15.583506881720451,287.82922063624,1013.4772370211693,-0.07955356304012097,0.1777526074279099,0.19474280176632758,,0.8535483870967743,0.5370967741935483,0.9047619047619048,0.5067741935483872,,1.229032258064516,,0.3896774193548386,0.3099999999999999,1.4903225806451614,1.24,1993,1,0.49999999999999994,0.8660254037844387,771.5225,771.3175,771.293,,,341.0319094980775,382.431924313025,266.7320369927625,,,20.0618546824597,20.0246079340278,21.080010332661313,,,,,,,,0.8574193548387096,0.8313333333333331,0.8145161290322582,,,0.5290322580645161,0.4843333333333332,0.4148387096774193,,,0.7789285714285714,0.5906666666666668,0.4309677419354838,,,0.4374193548387097,0.3558620689655172,0.4093333333333333,,,,,,,,1.2116129032258067,0.8340000000000001,0.5419354838709677,,,,,,,,0.3996774193548386,0.3936666666666666,0.3712903225806451,,,0.3135483870967742,0.3323333333333334,0.3006451612903226,,,1.599354838709678,1.4428571428571428,1.3125806451612905,,,,1.1,,,,771.3776666666666,771.3776666666666,,,,330.065290267955,330.065290267955,,,,20.388824316382937,20.388824316382937,,,,15.19397196964608,15.19397196964608,,,,0.24934688976923228,0.24934688976923228,,,,-35.174168729288226,103.313057302598,103.313057302598,,,,0.19023284313732347,0.20965677356078138
1993-02-01,771.4836666666666,3,20.626701069568476,15.877184691220261,263.8588250880725,1012.8786587983631,-0.10557433116753905,0.18634053654426896,0.21416987407448143,,0.9932142857142858,0.6010714285714286,0.9239285714285718,0.5671428571428573,,1.6539285714285712,,0.4289285714285714,0.2977777777777778,1.5542857142857145,1.33,1993,2,0.8660254037844386,0.5000000000000001,771.5385,771.5225,771.3175,,,287.82922063624,341.0319094980775,382.431924313025,,,20.19837078965056,20.0618546824597,20.0246079340278,,,,,,,,0.8535483870967743,0.8574193548387096,0.8313333333333331,,,0.5370967741935483,0.5290322580645161,0.4843333333333332,,,0.9047619047619048,0.7789285714285714,0.5906666666666668,,,0.5067741935483872,0.4374193548387097,0.3558620689655172,,,,,,,,1.229032258064516,1.2116129032258067,0.8340000000000001,,,,,,,,0.3896774193548386,0.3996774193548386,0.3936666666666666,,,0.3099999999999999,0.3135483870967742,0.3323333333333334,,,1.4903225806451614,1.599354838709678,1.4428571428571428,,,1.24,,1.1,,,771.4594999999999,771.417875,,,,337.09768481578084,319.50627286002623,,,,20.094944468712686,20.341210934699845,,,,15.470734145385327,15.291355697664674,,,,0.22337039664716082,0.2356958677685061,,,,2.1921643112601714,38.98538472871991,68.13888857330977,,,,0.05018382352932349,0.05567090772393568
1993-03-01,771.53,1,20.95853299227153,15.427680576276904,297.7942225853875,1013.0267241767473,-0.21387083832085113,0.38193073052114246,0.43773487226913643,,0.8538709677419355,0.573225806451613,0.9303225806451612,0.5954838709677419,,1.6412903225806452,,0.3716129032258066,0.4038709677419356,1.607741935483871,1.35,1993,3,1.0,6.123233995736766e-17,771.4836666666666,771.5385,771.5225,,,263.8588250880725,287.82922063624,341.0319094980775,,,20.626701069568476,20.19837078965056,20.0618546824597,,,,,,,,0.9932142857142858,0.8535483870967743,0.8574193548387096,,,0.6010714285714286,0.5370967741935483,0.5290322580645161,,,0.9239285714285718,0.9047619047619048,0.7789285714285714,,,0.5671428571428573,0.5067741935483872,0.4374193548387097,,,,,,,,1.6539285714285712,1.229032258064516,1.2116129032258067,,,,,,,,0.4289285714285714,0.3896774193548386,0.3996774193548386,,,0.2977777777777778,0.3099999999999999,0.3135483870967742,,,1.5542857142857145,1.4903225806451614,1.599354838709678,,,1.33,1.24,,,,771.5148888888889,771.4310333333333,,,,297.5733184074633,308.3767833056355,,,,20.29564218055958,20.39830896167357,,,,15.74253668134763,15.408521496375789,,,,0.23539842655914742,0.23139066902970118,,,,-18.489839567706326,-27.216149485289236,70.33105288456994,,,,0.03389215686274838,0.03771413805351555
1993-04-01,771.576,2,20.922528269097246,15.887263335069466,343.521356395005,1012.6805312586806,-0.3274588480077951,0.5522146223487343,0.642004895833628,,0.9743333333333332,0.531,0.6970000000000002,0.5510000000000002,,1.1763333333333332,,0.3779999999999999,0.351,1.5406666666666662,1.37,1993,4,0.8660254037844387,-0.4999999999999998,771.53,771.4836666666666,771.5385,771.293,,297.7942225853875,263.8588250880725,287.82922063624,266.7320369927625,,20.95853299227153,20.626701069568476,20.19837078965056,21.080010332661313,,,,,,,0.8538709677419355,0.9932142857142858,0.8535483870967743,0.8145161290322582,,0.573225806451613,0.6010714285714286,0.5370967741935483,0.4148387096774193,,0.9303225806451612,0.9239285714285718,0.9047619047619048,0.4309677419354838,,0.5954838709677419,0.5671428571428573,0.5067741935483872,0.4093333333333333,,,,,,,1.6412903225806452,1.6539285714285712,1.229032258064516,0.5419354838709677,,,,,,,0.3716129032258066,0.4289285714285714,0.3896774193548386,0.3712903225806451,,0.4038709677419356,0.2977777777777778,0.3099999999999999,0.3006451612903226,,1.607741935483871,1.5542857142857145,1.4903225806451614,1.3125806451612905,,1.35,1.33,1.24,,,771.5173888888888,771.4475277777777,771.4475277777777,,,283.1607561032333,306.61302318559416,306.61302318559416,,,20.594534950496854,20.491679633439897,20.491679633439897,,,15.62945738307254,15.41171467635931,15.41171467635931,,,0.2822158493699818,0.265781369569607,0.265781369569607,,,30.84417897725666,-51.47184398573438,51.841213316863616,51.841213316863616,,,-0.08536029411766322,-0.09796025721769468
1993-05-01,771.5886666666667,3,20.97267339213712,16.072911836357548,247.974872543765,1013.426133266129,-0.2341555735671959,0.4501077541750974,0.5073714842215046,,1.2012903225806448,0.6932258064516128,0.8348387096774194,0.6487096774193548,,1.4741935483870974,,0.5029032258064515,0.4877419354838711,1.55,1.67,1993,5,0.49999999999999994,-0.8660254037844387,771.576,771.53,771.4836666666666,771.3175,,343.521356395005,297.7942225853875,263.8588250880725,382.431924313025,,20.922528269097246,20.95853299227153,20.626701069568476,20.0246079340278,,,,,,,0.9743333333333332,0.8538709677419355,0.9932142857142858,0.8313333333333331,,0.531,0.573225806451613,0.6010714285714286,0.4843333333333332,,0.6970000000000002,0.9303225806451612,0.9239285714285718,0.5906666666666668,,0.5510000000000002,0.5954838709677419,0.5671428571428573,0.3558620689655172,,,,,,,1.1763333333333332,1.6412903225806452,1.6539285714285712,0.8340000000000001,,,,,,,0.3779999999999999,0.3716129032258066,0.4289285714285714,0.3936666666666666,,0.351,0.4038709677419356,0.2977777777777778,0.3323333333333334,,1.5406666666666662,1.607741935483871,1.5542857142857145,1.4428571428571428,,1.37,1.35,1.33,1.1,,771.5298888888889,771.4946944444445,771.465880952381,,,301.72480135615496,319.4112430859679,311.88564221551,,,20.835920776979084,20.465432622845885,20.553229438533805,,,15.730709534188877,15.6007218397871,15.47965019903219,,,0.43130321405908195,0.3273368053531214,0.31952758760732436,,,57.68483068306463,14.546503720810506,53.53188844953041,82.68539229412028,,,-0.07792676767678586,-0.09355489634449196
1993-06-01,771.5296666666667,3,20.71172083854169,14.55530386979169,72.9424356296175,1015.26498640625,-0.01408803753539585,0.6803987927208004,0.6805446274400536,,0.9239999999999996,0.4953333333333335,0.5426666666666666,0.4233333333333334,,0.7896666666666666,,0.3920000000000002,0.3959999999999999,1.4053333333333329,1.44,1993,6,1.2246467991473532e-16,-1.0,771.5886666666667,771.576,771.53,771.5225,,247.974872543765,343.521356395005,297.7942225853875,341.0319094980775,,20.97267339213712,20.922528269097246,20.95853299227153,20.0618546824597,,,,,,,1.2012903225806448,0.9743333333333332,0.8538709677419355,0.8574193548387096,,0.6932258064516128,0.531,0.573225806451613,0.5290322580645161,,0.8348387096774194,0.6970000000000002,0.9303225806451612,0.7789285714285714,,0.6487096774193548,0.5510000000000002,0.5954838709677419,0.4374193548387097,,,,,,,1.4741935483870974,1.1763333333333332,1.6412903225806452,1.2116129032258067,,,,,,,0.5029032258064515,0.3779999999999999,0.3716129032258066,0.3996774193548386,,0.4877419354838711,0.351,0.4038709677419356,0.3135483870967742,,1.55,1.5406666666666662,1.607741935483871,1.599354838709678,,1.67,1.37,1.35,,,771.564888888889,771.5398888888889,771.4812291666667,,,296.4301505080525,297.0017344577579,303.8967960065419,,,20.951244884501964,20.62344353253077,20.60565993273422,,,15.795951915901307,15.769244298624466,15.553807903697859,,,0.5290370841080896,0.38221775533361857,0.3430080746840969,,,13.085662321051139,70.03917009261497,42.82302060732573,140.3702229771849,,,-0.04461111111106675,-0.05062059735473431
1993-07-01,771.5345,2,20.608983454301097,12.407193882728517,5.538761626595,1015.3560767893146,-0.0541029283495363,1.0113003839542507,1.0127465593335827,,0.8522580645161288,0.4251612903225806,0.4416129032258065,0.3290000000000001,,0.5119354838709678,,0.3467741935483871,0.2480645161290323,1.366129032258065,1.16,1993,7,-0.4999999999999997,-0.8660254037844388,771.5296666666667,771.5886666666667,771.576,771.5385,,72.9424356296175,247.974872543765,343.521356395005,287.82922063624,,20.71172083854169,20.97267339213712,20.922528269097246,20.19837078965056,,,,,,,0.9239999999999996,1.2012903225806448,0.9743333333333332,0.8535483870967743,,0.4953333333333335,0.6932258064516128,0.531,0.5370967741935483,,0.5426666666666666,0.8348387096774194,0.6970000000000002,0.9047619047619048,,0.4233333333333334,0.6487096774193548,0.5510000000000002,0.5067741935483872,,,,,,,0.7896666666666666,1.4741935483870974,1.1763333333333332,1.229032258064516,,,,,,,0.3920000000000002,0.5029032258064515,0.3779999999999999,0.3896774193548386,,0.3959999999999999,0.4877419354838711,0.351,0.3099999999999999,,1.4053333333333329,1.55,1.5406666666666662,1.4903225806451614,,1.44,1.67,1.37,1.24,,771.5647777777777,771.5410833333332,771.4866111111111,,,221.47955485612917,252.32015547968123,278.23520040910586,,,20.86897416659202,20.731754558544438,20.617444477823938,,,15.505159680406235,15.567308531739386,15.442863011041617,,,0.609973669165062,0.44609475926752196,0.3805121361014254,,,-22.39827854287174,101.61467198137242,50.14282799563805,153.45588529823604,,,0.1508636363636242,0.1679791886903496
