river,date,year,month,water_level,water_level_observed,runoff,runoff_observed,temp_max_observed,temp_min_observed,temp_mean_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean
Mpanda,2008-12-01,2008,12,0.9261290322580648,0.9261290322580648,11.76,11.76,21.306451612903224,11.264516129032257,16.28548387096774,125.1,RWEGURA,RWEGURA,grid_m3.00_29.50,18.94182565860217,12.320520000000045,27.70980000000003,173.93303020358,-0.4644713450137096,-0.3598809191740591,13.150960470430107,101280.64129704301
Mpanda,2009-01-01,2009,1,0.8893548387096775,0.8893548387096775,10.37,10.37,20.660000000000004,11.413333333333332,16.03666666666667,247.60000000000002,RWEGURA,RWEGURA,grid_m3.00_29.50,18.94403494623657,12.36318,27.467700000000036,412.48416818704,-0.3152977938966398,-0.39101279465766126,13.254311048387137,101331.01302419354
Mpanda,2009-02-01,2009,2,0.9182142857142858,0.9182142857142858,5.41,5.41,20.575,11.0,15.7875,205.8,RWEGURA,RWEGURA,grid_m3.00_29.50,18.212384270833354,12.389550000000042,25.90664000000004,308.504104704,-0.48962836027232143,-0.16106333014255952,13.9508185119048,101288.54663690476
Mpanda,2009-03-01,2009,3,0.9906451612903227,0.9906451612903227,10.55,10.55,20.95483870967742,11.706451612903225,16.330645161290324,176.4,RWEGURA,RWEGURA,grid_m3.00_29.50,18.949019435483876,12.322530000000029,26.652000000000044,299.18193850808,-0.6786679095461021,-0.15715861577284945,14.348863185483879,101242.70546370967
Mpanda,2009-04-01,2009,4,1.164,1.164,5.6,5.6,20.453333333333333,11.203333333333331,15.828333333333333,181.59999999999997,RWEGURA,RWEGURA,grid_m3.00_29.50,18.195570527777818,12.981650000000002,25.145380000000046,382.3056232732,-0.8910121069247222,-0.006826104704416664,14.869476861111139,101437.37012499999
Mpanda,2009-05-01,2009,5,1.3270967741935482,1.3270967741935482,5.15,5.15,19.335483870967742,11.370967741935484,15.353225806451613,248.2,RWEGURA,RWEGURA,grid_m3.00_29.50,18.27963881720433,12.221370000000036,25.238030000000037,219.89870090406,-0.7705776472096774,0.0078375088734543,14.247708642473128,101439.6848857527
Mpanda,2009-06-01,2009,6,0.7490000000000001,0.7490000000000001,1.11,1.11,20.639999999999997,11.23,15.934999999999999,12.6,RWEGURA,RWEGURA,grid_m3.00_29.50,18.320157944444475,11.182520000000011,25.794430000000034,47.00136145186,-0.9855693395402778,0.20377019246805558,12.008246541666665,101532.98845833333
Mpanda,2009-07-01,2009,7,0.7216129032258066,0.7216129032258066,0.45,0.45,21.00645161290323,10.503225806451614,15.754838709677422,0.5,RWEGURA,RWEGURA,grid_m3.00_29.50,18.391699368279546,10.385460000000023,27.1943,10.98966596272,-0.8194913359266129,0.7226813152950416,9.954098198924783,101612.25538978496
Mpanda,2009-08-01,2009,8,0.767741935483871,0.767741935483871,0.2,0.2,21.83548387096774,12.235483870967741,17.035483870967738,48.8,RWEGURA,RWEGURA,grid_m3.00_29.50,19.74446860215056,13.1216,27.420560000000023,32.65571575832,-0.5651459433101746,0.5298713567916666,11.240125739247333,101436.25275537634
Mpanda,2009-09-01,2009,9,0.6056666666666666,0.6056666666666666,0.78,0.78,22.31,12.086666666666668,17.198333333333334,50.39999999999999,RWEGURA,RWEGURA,grid_m3.00_29.50,20.201272416666654,13.672330000000045,28.075770000000034,170.39012920692002,-0.584053654881,0.0916772418486111,12.272611305555586,101422.89655555555
