river,date,year,month,water_level,water_level_observed,runoff,runoff_observed,temp_max_observed,temp_min_observed,temp_mean_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean,temp_max_imputed,temp_min_imputed,temp_mean_imputed,precip_bias_factor,precip_imputed
Mutimbuzi,1989-01-01,1989,1,1.859615384615384,1.859615384615384,8.73,8.73,28.19354838709677,19.12903225806452,23.661290322580644,147.8,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.78219807795699,16.222530000000006,28.68313000000001,54.053783343940005,-0.6808455879643817,-0.1911778393766129,15.414559018817217,101198.17597446236,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-02-01,1989,2,1.829285714285714,1.829285714285714,10.62,10.62,28.11428571428572,19.107142857142858,23.610714285714288,151.50000000000003,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.328597812499996,16.400350000000003,31.472920000000045,59.8285200184,0.2658243637603571,0.0195055246398214,15.34840629464287,101234.0859077381,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-03-01,1989,3,1.7393548387096776,1.7393548387096776,16.74,16.74,28.9741935483871,18.9483870967742,23.96129032258065,162.3,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.369334166666704,16.59268000000003,31.97613000000001,44.51107956652,-0.0911233145854838,0.2550418203333333,16.013162876344154,101093.4695766129,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-04-01,1989,4,1.717,1.717,12.98,12.98,29.076666666666664,19.37,24.223333333333333,130.29999999999998,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.714057722222265,16.370480000000043,29.156949999999995,164.46590390763998,0.6663077655453695,0.5297544701620833,16.685040180555575,101199.39888194443,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-05-01,1989,5,1.721290322580645,1.721290322580645,14.9,14.9,28.716129032258067,18.490322580645163,23.60322580645161,147.20000000000002,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.12654424731187,14.725369999999998,28.93176,134.51337776276,1.121380487003629,0.702349643520699,16.0388841263441,101412.63735887095,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-06-01,1989,6,,,1.75,1.75,28.95333333333334,16.79,22.87166666666667,10.8,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.092777375000026,13.909330000000011,29.180200000000013,27.46367460716,1.040251648456111,1.1377232861836528,15.48409659722222,101491.23281944444,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-07-01,1989,7,1.568387096774194,1.568387096774194,1.08,1.08,28.71935483870968,15.880645161290325,22.3,6.7,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.367648534946227,14.03585000000004,29.04128000000003,6.97088243716,0.7480183263400403,1.220643915550672,14.119896733870974,101503.08012768815,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-08-01,1989,8,1.525806451612903,1.525806451612903,1.05,1.05,29.86129032258064,16.241935483870964,23.0516129032258,13.6,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.07658147849463,15.733450000000005,31.08346,2.6583671629800003,1.137832783783199,1.084878982366613,13.739609274193583,101352.8898857527,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-09-01,1989,9,1.6089999999999998,1.6089999999999998,11.31,11.31,30.823333333333327,17.383333333333333,24.10333333333333,23.3,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.77034709722227,16.33987000000002,32.42617000000001,11.61003115954,1.1857309555255555,0.5193991981097222,13.436457944444442,101168.0480625,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-10-01,1989,10,1.6670967741935483,1.6670967741935483,19.73,19.73,29.4258064516129,17.999999999999996,23.71290322580645,96.90000000000002,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.462974677419368,16.571619999999996,31.19634000000002,19.21629907488,1.1177506189293012,0.3689741760818548,14.039099677419358,101218.24819892472,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-11-01,1989,11,1.7099999999999989,1.7099999999999989,15.38,15.38,29.276666666666664,18.953333333333333,24.115,48.900000000000006,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.440977513888924,16.33987000000002,30.56722000000002,201.59387571972,0.9771901053795832,0.3426080270725,15.392942041666686,101183.612875,False,False,False,1.5476478434872514,False
Mutimbuzi,1989-12-01,1989,12,,,17.87,17.87,28.483870967741936,19.21612903225807,23.85,169.5,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.977269569892485,17.421400000000006,29.90880000000004,107.55872746478,-0.0108157738561827,0.1649536623680107,17.366444045698927,101238.50637096772,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-01-01,1990,1,1.7922580645161292,1.7922580645161292,9.48,9.48,29.43870967741936,18.92903225806451,24.18387096774193,68.60000000000001,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.281057150537663,15.622670000000028,30.15548000000001,40.82822791026,0.8202114204040323,0.1689084582983736,15.972622486559146,101176.72463709676,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-02-01,1990,2,1.885,1.885,17.18,17.18,29.567857142857147,19.514285714285712,24.541071428571428,167.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.375603333333345,16.83000000000004,30.67544000000004,53.15327617054,-0.2360053735001488,0.1999508321242559,16.848854077380963,101233.1039732143,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-03-01,1990,3,1.8793548387096772,1.8793548387096772,17.73,17.73,29.116129032258065,19.951612903225808,24.533870967741933,74.7,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.118092540322607,17.45046000000002,30.99474000000004,91.18700024644,0.2784655787850806,0.2792675277643145,17.018929086021558,101310.14289650538,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-04-01,1990,4,1.7890000000000004,1.7890000000000004,11.64,11.64,30.53333333333333,20.51,25.52166666666667,119.2,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.74446448611116,17.28475000000003,30.05477000000002,107.44047173064,0.0236840560965277,0.2494510017322222,17.670131138888905,101181.06359722224,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-05-01,1990,5,1.7680645161290318,1.7680645161290318,14.61,14.61,29.47419354838709,19.293548387096774,24.38387096774193,70.9,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.393134516129063,16.221640000000036,30.070400000000006,13.77296447102,1.0923657155017474,0.8448129615310485,16.384922862903238,101304.66607526882,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-06-01,1990,6,1.5910000000000002,1.5910000000000002,1.2,1.2,30.106666666666666,16.86,23.48333333333333,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.57036066666672,15.575680000000034,30.516500000000008,0.2021789511599999,1.208075333811625,1.1863488487908334,14.324368375000006,101448.87744444446,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-07-01,1990,7,1.5961290322580648,1.5961290322580648,0.45,0.45,29.82580645161291,15.293548387096775,22.55967741935484,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.02980625000004,13.295920000000024,30.566430000000025,0.0410079956,0.9536565354432796,1.5028145954701075,12.131033830645151,101415.71962365592,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-08-01,1990,8,1.593225806451613,1.593225806451613,0.74,0.74,30.074193548387104,17.409677419354836,23.741935483870968,0.4,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.71446900537637,15.249600000000044,31.15640000000002,2.93159486778,1.1268079412064516,1.4198296474637095,13.61729483870971,101436.0869623656,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-09-01,1990,9,1.6853333333333331,1.6853333333333331,9.32,9.32,30.283333333333346,18.22666666666667,24.25500000000001,48.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.79703812500003,16.045000000000016,31.40243000000004,9.26852230376,1.2184464993891666,0.7504946345270833,13.535139597222267,101296.7004375,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-10-01,1990,10,1.757586206896552,1.757586206896552,17.16,17.16,30.21935483870968,19.009677419354837,24.614516129032253,92.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.225195725806486,17.179830000000038,31.85677000000004,2.91514396676,1.0753663671875,0.4718601055091397,13.11704970430111,101182.55101478494,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-11-01,1990,11,,,23.22,23.22,29.35333333333334,19.963333333333328,24.65833333333333,56.90000000000001,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.67807429166669,17.408299999999997,30.494470000000035,5.49507139328,1.1505356675805556,0.3972523380838889,14.321658722222251,101182.54859027776,False,False,False,1.5476478434872514,False
Mutimbuzi,1990-12-01,1990,12,,,16.76,16.76,29.025806451612908,19.525806451612905,24.275806451612908,42.5,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.5152854166667,16.509119999999996,30.668660000000045,15.21301255178,0.5582313937850807,0.4102641279950269,15.614975147849464,101190.0107123656,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-01-01,1991,1,,,18.14,18.14,29.864516129032257,19.71935483870968,24.791935483870965,45.6,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.830699529569927,18.17830000000004,30.96905000000004,50.28843875574,0.2624458583725,0.3110825321813441,16.48197513440863,101230.79967069892,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-02-01,1991,2,,,13.18,13.18,30.557142857142857,19.63928571428572,25.098214285714285,128.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.546411785714326,18.03024000000005,33.62667000000005,5.10406492306,0.1052354179693006,0.3206541423936012,15.963543154761965,101190.6464657738,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-03-01,1991,3,,,11.6,11.6,29.503225806451614,19.738709677419354,24.620967741935484,131.7,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.342200591397894,17.674770000000024,31.45468,42.8700445463,0.3885823945181451,0.3345457908235215,15.980811639784974,101095.40835349464,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-04-01,1991,4,,,19.52,19.52,28.886666666666663,20.023333333333333,24.455,93.9,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.437099680555548,17.92733000000004,29.20080000000001,72.99184775526001,0.4983533212509722,0.56853527492875,16.96161693055558,101223.672125,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-05-01,1991,5,,,24.05,24.05,28.82903225806452,20.33870967741936,24.583870967741937,71.60000000000001,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.25795729838711,18.124960000000044,29.375020000000006,104.8636439808,0.914075399830914,0.5785466262645161,16.68509651881726,101304.5376814516,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-06-01,1991,6,,,6.89,6.89,29.570000000000004,19.02333333333333,24.296666666666667,5.5,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.74906569444448,14.271569999999995,28.749480000000005,135.06221742832,0.768597748725,0.8322161404990278,16.602839305555563,101392.6743125,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-07-01,1991,7,,,3.26,3.26,28.38064516129031,17.161290322580648,22.77096774193548,8.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.241503508064568,14.889980000000037,28.839230000000043,2.10428237148,0.8273534668677419,1.0848337098309544,14.55233236559144,101531.35822580644,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-08-01,1991,8,,,2.84,2.84,30.022580645161288,17.26774193548387,23.645161290322577,3.6,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.36455299731188,15.377400000000025,31.140300000000025,0.5617141731999999,1.1015576779831988,1.049795500681438,13.11689120967742,101424.18389784943,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-09-01,1991,9,,,3.85,3.85,30.78,18.290000000000003,24.535,13.500000000000002,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.2051322916667,16.96383000000003,32.14187000000004,0.1449584958199999,1.2950675975596528,0.8126496626547223,13.06707112500004,101269.41040972224,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-10-01,1991,10,,,22.04,22.04,28.46451612903226,18.603225806451608,23.533870967741933,110.7,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.59525591397852,16.42977000000002,31.51785000000001,42.93155675816,0.6977057502735619,0.1471223314892473,14.64540002688176,101243.10909946237,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-11-01,1991,11,,,18.21,18.21,28.33,18.77,23.55,79.8,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.80720273611109,15.08175,30.124870000000044,4.62889670248,1.3724507431569444,0.3110268908945833,13.774780652777793,101230.89342361112,False,False,False,1.5476478434872514,False
Mutimbuzi,1991-12-01,1991,12,,,16.1,16.1,28.33225806451613,19.22258064516129,23.77741935483871,111.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.72386185483873,16.35485,29.107320000000016,138.35167870754,0.3465797062211022,0.1104886875156451,15.495008938172075,101247.44938844086,False,False,False,1.5476478434872514,False
Mutimbuzi,1992-01-01,1992,1,,,12.6,12.6,29.490322580645163,19.322580645161292,24.40645161290323,64.80000000000001,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.46362747311832,16.57614000000001,31.09292000000005,32.035350568300004,0.8345268807639785,0.3182915321711169,15.684478306451638,101226.15350134407,False,False,False,1.5476478434872514,False
Mutimbuzi,1992-02-01,1992,2,,,17.95,17.95,29.19310344827586,19.6,24.39655172413793,85.89999999999999,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.40831682471264,16.61056000000002,30.62795,65.60730943414,-0.1256768025350574,-0.0349598802886781,16.15554083333336,101275.21762931034,False,False,False,1.5476478434872514,False
Mutimbuzi,1992-03-01,1992,3,0.547741935483871,0.547741935483871,10.11,10.11,29.51612903225806,19.51935483870968,24.51774193548387,96.5,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.63878923387097,17.72628000000003,32.06487000000004,10.75887684302,0.7839982022782258,0.3398036546057796,14.556441693548436,101117.61659946236,False,False,False,1.5476478434872514,False
Mutimbuzi,1992-04-01,1992,4,0.4623333333333334,0.4623333333333334,19.99,19.99,29.39666666666666,20.10333333333333,24.75,52.400000000000006,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.817233708333333,17.83895000000001,31.144650000000013,116.40834858322,0.4979954400556944,0.5230486345186112,16.74478325000001,101196.82077777776,False,False,False,1.5476478434872514,False
Mutimbuzi,1992-05-01,1992,5,0.3699999999999998,0.3699999999999998,11.63,11.63,29.43548387096774,19.22258064516129,24.329032258064515,108.80000000000004,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.47808611559145,15.67455000000001,29.828850000000045,166.12100601152,1.278200475315726,0.5225266612729839,15.69636706989246,101303.75542338708,False,False,False,1.5476478434872514,False
Mutimbuzi,1992-06-01,1992,6,,,8.35,8.35,29.59333333333333,18.85666666666667,24.225,7.7,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.499717847222257,15.146749999999995,30.495870000000025,27.37855910944,1.13621567601125,0.801798565658889,15.213826236111116,101414.8549652778,False,False,False,1.5476478434872514,False
