river,year,month,water_level,runoff,temp_max_observed,temp_min_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean,temp_max_imputed,temp_min_imputed,precip_bias_factor,precip_imputed,ndvi,water_level_imputed_v2,wl_imputed_v2,water_level_m
Kaburantwa,2000,5,,0.31,31.863950000000045,15.737760000000035,1.974991920274694,MPARAMBO,MPARAMBO,grid_m3.00_29.25,23.29265881720437,15.737760000000035,31.863950000000045,0.89454651546,0.4770523798648521,0.9293748441088712,11.52699244623659,101261.08980510752,True,True,2.207813552612297,True,0.6784858351465615,1.4445763979699882,True,771.324
Buzimba,2000,5,1.6883870967741936,11.02,30.98064516129032,17.951612903225808,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.588651491935536,17.71096,25.995600000000024,147.44091015934,0.1080141375741129,0.5558816927283602,17.690296747311834,101310.52649193548,False,False,0.2550133648657899,False,0.558034379634798,1.6883870967741936,False,771.324
Jiji,2000,5,0.6032258064516127,,21.48387096774193,9.316129032258065,7.5,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.75,20.020481008064507,15.618250000000046,25.953520000000022,39.86930835182,-1.1588735680681452,0.6170271044115592,13.614536250000016,101416.73583333332,False,False,0.7469623692808592,False,0.7291123633909615,0.6032258064516127,False,771.324
Rusizi,2000,5,,,31.31111111111112,19.003703703703703,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.37572922043012,16.280730000000005,32.78582,0.05531311012,1.388774544170699,1.1627339051011292,12.408379784946248,101237.3921034946,False,False,1.5043629271954442,False,0.544673129508796,3.567499999999996,True,771.324
Nyamagana,2000,5,,,31.863950000000045,15.737760000000035,1.956239337927606,MPARAMBO,MPARAMBO,grid_m3.00_29.25,23.29265881720437,15.737760000000035,31.863950000000045,0.89454651546,0.4770523798648521,0.9293748441088712,11.52699244623659,101261.08980510752,True,True,2.186850324850525,True,0.4737082461146965,0.7135771675155632,True,771.324
Mutimbuzi,2000,5,,7.9,31.31111111111112,19.003703703703703,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.37572922043012,16.280730000000005,32.78582,0.05531311012,1.388774544170699,1.1627339051011292,12.408379784946248,101237.3921034946,False,False,1.5476478434872514,False,0.598452051831205,1.7264210850074626,True,771.324
Nyakagunda,2000,5,,,29.238500000000045,14.548550000000034,5.449079033700079,MPARAMBO,MPARAMBO,grid_m2.75_29.00,21.0542518413979,14.548550000000034,29.238500000000045,2.72989272638,-1.6293640532137097,1.1741455090143011,10.101303319892509,101333.12510752688,True,True,1.9960780806672505,True,0.4959736516332055,0.3957675422427031,True,771.324
Nyengwe,2000,5,,10.3,30.98064516129032,17.951612903225808,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.7426624865592,21.07577000000004,26.18700000000001,93.62554567836,0.9183641249658602,0.2698381343603494,18.64294138440863,101233.37409274194,False,False,0.3658537084356579,False,0.6309438687316395,0.8983879815939844,True,771.324
Mulembwe,2000,5,1.0529032258064517,11.02,21.48387096774193,9.316129032258065,7.5,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,21.588651491935536,17.71096,25.995600000000024,147.44091015934,0.1080141375741129,0.5558816927283602,17.690296747311834,101310.52649193548,False,False,0.3376177859350189,False,0.4256083679604689,1.0529032258064517,False,771.324
Jiji,2000,6,0.5396666666666668,,20.633333333333333,7.393333333333332,0.0,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.75,19.425148333333368,14.481700000000046,25.60390000000001,20.80774300214,-1.0649070105302778,0.9553911906988888,11.428828472222222,101557.73202777778,False,False,0.7469623692808592,False,0.672513286129869,0.5396666666666668,False,771.166
Rusizi,2000,6,,,29.84444444444444,16.923333333333332,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.26522472222223,15.68643000000003,31.32165000000004,0.30708313038,1.2884173716768057,1.4272566956106807,12.138130638888924,101396.13322916666,False,False,1.5043629271954442,False,0.4422126945946429,2.1269499999999963,True,771.166
Kaburantwa,2000,6,,0.19,30.41930000000002,15.103480000000047,1.013815153136825,MPARAMBO,MPARAMBO,grid_m3.00_29.25,22.05891509722221,15.103480000000047,30.41930000000002,0.4591941887199999,0.5636099711479167,1.0333208748180556,11.041150097222271,101416.5158125,True,True,2.207813552612297,True,0.5666321921049364,1.592723434101989,True,771.166
Mulembwe,2000,6,0.7013333333333331,3.09,20.633333333333333,7.393333333333332,0.0,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.65520387500004,16.891080000000045,24.578100000000006,86.11679121562,0.2052996954934722,0.6614730031016667,16.413143819444485,101462.165375,False,False,0.3376177859350189,False,0.353811046617666,0.7013333333333331,False,771.166
Nyamagana,2000,6,,,30.41930000000002,15.103480000000047,1.004188960771805,MPARAMBO,MPARAMBO,grid_m3.00_29.25,22.05891509722221,15.103480000000047,30.41930000000002,0.4591941887199999,0.5636099711479167,1.0333208748180556,11.041150097222271,101416.5158125,True,True,2.186850324850525,True,0.3775287037968849,0.570499623655914,True,771.166
Mutimbuzi,2000,6,,1.83,29.84444444444444,16.923333333333332,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.26522472222223,15.68643000000003,31.32165000000004,0.30708313038,1.2884173716768057,1.4272566956106807,12.138130638888924,101396.13322916666,False,False,1.5476478434872514,False,0.50163236374499,0.9664986449477552,True,771.166
