model,horizon_months,period,n,mae_m,rmse_m,bias_m
sarimax,1,recent_5y,55,0.10120972348004423,0.11988731215608481,0.008441708227137083
sarimax,3,recent_5y,55,0.1528714441260118,0.1892740239093688,0.014059768555224847
sarimax,6,recent_5y,55,0.17881325472155202,0.21562196697949235,0.007937140519958452
